,query1,query2,size,siamese_distance,average_image_time_query1,average_image_time_query2,patch_retrieval_time,image_comparison_time,total_time
1,AMD8,AMD10,"(496, 512)",59.83991622924805,0.3740956783294678,1.5746865272521973,0.003982067108154297,0.14494991302490234,1.723618507385254
22,AMD8,DME3,"(496, 512)",60.178192138671875,0.3740956783294678,0.21502065658569336,0.000997781753540039,0.1190190315246582,0.3350374698638916
8,AMD8,AMD3,"(496, 512)",60.24115753173828,0.3740956783294678,1.2237045764923096,0.0009982585906982422,0.1340017318725586,1.3587045669555664
2,AMD8,AMD11,"(496, 512)",60.251033782958984,0.3740956783294678,0.4741818904876709,0.0,0.12299799919128418,0.5991823673248291
12,AMD8,AMD7,"(496, 512)",60.339351654052734,0.3740956783294678,1.1216473579406738,0.0010008811950683594,0.11999917030334473,1.242647409439087
7,AMD8,AMD2,"(496, 512)",60.36214065551758,0.3740956783294678,0.5177164077758789,0.0009996891021728516,0.11998486518859863,0.6387009620666504
16,AMD8,DME11,"(496, 512)",60.51018142700195,0.3740956783294678,0.15802812576293945,0.0009691715240478516,0.12003302574157715,0.27903032302856445
15,AMD8,DME10,"(496, 512)",60.59188461303711,0.3740956783294678,0.08102178573608398,0.0009768009185791016,0.121002197265625,0.20300078392028809
0,AMD8,AMD1,"(496, 512)",60.624053955078125,0.3740956783294678,0.6998770236968994,0.0019960403442382812,3.066484212875366,3.768357276916504
6,AMD8,AMD15,"(496, 512)",60.739803314208984,0.3740956783294678,0.9762134552001953,0.0020008087158203125,0.12799334526062012,1.1062076091766357
3,AMD8,AMD12,"(496, 512)",60.869529724121094,0.3740956783294678,0.2463533878326416,0.0010001659393310547,0.12100005149841309,0.36835360527038574
19,AMD8,DME14,"(496, 512)",60.87071228027344,0.3740956783294678,0.15503144264221191,0.0009703636169433594,0.12400031089782715,0.28099632263183594
21,AMD8,DME2,"(496, 512)",61.0078010559082,0.3740956783294678,0.21199893951416016,0.0009999275207519531,0.12501072883605957,0.3380095958709717
28,AMD8,DME9,"(496, 512)",61.06565475463867,0.3740956783294678,0.15903091430664062,0.0009987354278564453,0.11898231506347656,0.27901196479797363
18,AMD8,DME13,"(496, 512)",61.272674560546875,0.3740956783294678,0.15899991989135742,0.0009992122650146484,0.12300515174865723,0.2830042839050293
9,AMD8,AMD4,"(496, 512)",61.312583923339844,0.3740956783294678,0.3908650875091553,0.0010085105895996094,0.1190032958984375,0.5118937492370605
10,AMD8,AMD5,"(496, 512)",61.3294792175293,0.3740956783294678,0.4410123825073242,0.0020029544830322266,0.12200474739074707,0.5650200843811035
11,AMD8,AMD6,"(496, 512)",61.4447021484375,0.3740956783294678,0.30586814880371094,0.0009992122650146484,0.11997580528259277,0.42684316635131836
14,AMD8,DME1,"(496, 512)",61.57513427734375,0.3740956783294678,0.21697616577148438,0.0010013580322265625,0.12100005149841309,0.3399777412414551
42,AMD8,NORMAL9,"(496, 512)",61.62125778198242,0.3740956783294678,0.21499991416931152,0.0010013580322265625,0.12299990653991699,0.3390011787414551
27,AMD8,DME8,"(496, 512)",61.65299606323242,0.3740956783294678,0.15899920463562012,0.0009999275207519531,0.12151098251342773,0.2815101146697998
32,AMD8,NORMAL13,"(496, 512)",61.6766242980957,0.3740956783294678,0.2129981517791748,0.0,0.12200284004211426,0.33500099182128906
38,AMD8,NORMAL5,"(496, 512)",61.696205139160156,0.3740956783294678,0.21502280235290527,0.0009775161743164062,0.12200140953063965,0.33800172805786133
