,query1,query2,size,siamese_distance,average_image_time_query1,average_image_time_query2,patch_retrieval_time,image_comparison_time,total_time
1,DME5,AMD10,"(496, 512)",59.7657585144043,1.8084568977355957,2.353590726852417,0.0010371208190917969,0.13399195671081543,2.488619804382324
8,DME5,AMD3,"(496, 512)",59.96983337402344,1.8084568977355957,1.5687446594238281,0.0010037422180175781,0.13403558731079102,1.7037839889526367
2,DME5,AMD11,"(496, 512)",60.31566619873047,1.8084568977355957,0.6803421974182129,0.003995656967163086,0.15499186515808105,0.8402984142303467
23,DME5,DME3,"(496, 512)",60.43284606933594,1.8084568977355957,1.5089702606201172,0.0030188560485839844,0.1799483299255371,1.6919374465942383
7,DME5,AMD2,"(496, 512)",60.497108459472656,1.8084568977355957,0.8295989036560059,0.0010013580322265625,0.15799880027770996,0.9885990619659424
12,DME5,AMD7,"(496, 512)",60.70890426635742,1.8084568977355957,2.077331304550171,0.001987934112548828,0.12699651718139648,2.2073159217834473
0,DME5,AMD1,"(496, 512)",60.95556640625,1.8084568977355957,1.491513967514038,0.002999544143676758,2.1309947967529297,3.6255083084106445
6,DME5,AMD15,"(496, 512)",60.972652435302734,1.8084568977355957,1.4876782894134521,0.001994609832763672,0.13896632194519043,1.6286392211914062
16,DME5,DME10,"(496, 512)",60.994441986083984,1.8084568977355957,0.7032492160797119,0.002998828887939453,0.14994025230407715,0.8572018146514893
17,DME5,DME11,"(496, 512)",61.018699645996094,1.8084568977355957,1.4819622039794922,0.001997709274291992,0.12999176979064941,1.6149513721466064
3,DME5,AMD12,"(496, 512)",61.1048583984375,1.8084568977355957,0.46843934059143066,0.002000570297241211,0.12996768951416016,0.600407600402832
20,DME5,DME14,"(496, 512)",61.30921173095703,1.8084568977355957,2.233452320098877,0.003025531768798828,0.17593741416931152,2.4124152660369873
10,DME5,AMD5,"(496, 512)",61.360374450683594,1.8084568977355957,0.759291410446167,0.002997159957885742,0.14394283294677734,0.9062314033508301
22,DME5,DME2,"(496, 512)",61.436954498291016,1.8084568977355957,1.3749256134033203,0.0010366439819335938,0.1239631175994873,1.4999253749847412
28,DME5,DME9,"(496, 512)",61.49195098876953,1.8084568977355957,2.5359463691711426,0.001996278762817383,0.1309957504272461,2.669903516769409
19,DME5,DME13,"(496, 512)",61.61798858642578,1.8084568977355957,1.614236831665039,0.001998424530029297,0.1279609203338623,1.7441961765289307
9,DME5,AMD4,"(496, 512)",61.62021255493164,1.8084568977355957,0.794959306716919,0.0020165443420410156,0.13796377182006836,0.9359016418457031
24,DME5,DME4,"(496, 512)",61.66970443725586,1.8084568977355957,1.3447163105010986,0.0010004043579101562,0.11799883842468262,1.4637155532836914
34,DME5,NORMAL15,"(496, 512)",61.69870376586914,1.8084568977355957,3.443307399749756,0.002948284149169922,0.14198756217956543,3.588243246078491
29,DME5,NORMAL1,"(496, 512)",61.73565673828125,1.8084568977355957,2.4084322452545166,0.0030372142791748047,0.1479506492614746,2.559420108795166
31,DME5,NORMAL12,"(496, 512)",61.789817810058594,1.8084568977355957,2.6316330432891846,0.0020020008087158203,0.15297365188598633,2.7866086959838867
35,DME5,NORMAL2,"(496, 512)",61.79218673706055,1.8084568977355957,1.3498101234436035,0.0009996891021728516,0.1159830093383789,1.4667928218841553
36,DME5,NORMAL3,"(496, 512)",61.82707595825195,1.8084568977355957,2.25783634185791,0.0010249614715576172,0.11798405647277832,2.3777990341186523
15,DME5,DME1,"(496, 512)",61.82731246948242,1.8084568977355957,1.108501672744751,0.0010344982147216797,0.11996579170227051,1.2325019836425781
