,query1,query2,size,siamese_distance,average_image_time_query1,average_image_time_query2,patch_retrieval_time,image_comparison_time,total_time
1,NORMAL5,AMD10,"(496, 512)",59.76687240600586,0.22302937507629395,1.7246630191802979,0.0020008087158203125,0.13399934768676758,1.861654281616211
8,NORMAL5,AMD3,"(496, 512)",59.95661163330078,0.22302937507629395,0.8467051982879639,0.002017974853515625,0.16198086738586426,1.0107040405273438
2,NORMAL5,AMD11,"(496, 512)",60.24169158935547,0.22302937507629395,0.5110485553741455,0.0019979476928710938,0.12599945068359375,0.6390459537506104
7,NORMAL5,AMD2,"(496, 512)",60.56447982788086,0.22302937507629395,0.43907833099365234,0.0009996891021728516,0.13500452041625977,0.575082540512085
12,NORMAL5,AMD7,"(496, 512)",60.74095916748047,0.22302937507629395,1.1219608783721924,0.0,0.1272294521331787,1.249190330505371
6,NORMAL5,AMD15,"(496, 512)",61.08553695678711,0.22302937507629395,1.141068696975708,0.0019996166229248047,0.15000510215759277,1.2930734157562256
0,NORMAL5,AMD1,"(496, 512)",61.09589767456055,0.22302937507629395,0.532318115234375,0.0009996891021728516,0.2170114517211914,0.7503292560577393
10,NORMAL5,AMD5,"(496, 512)",61.20065689086914,0.22302937507629395,0.259091854095459,0.0,0.12138104438781738,0.3814842700958252
3,NORMAL5,AMD12,"(496, 512)",61.21904754638672,0.22302937507629395,0.3797485828399658,0.0009784698486328125,0.12100100517272949,0.5017280578613281
17,NORMAL5,NORMAL12,"(496, 512)",61.45774459838867,0.22302937507629395,0.20202970504760742,0.002001047134399414,0.12097001075744629,0.3250007629394531
9,NORMAL5,AMD4,"(496, 512)",61.523643493652344,0.22302937507629395,0.2274315357208252,0.0,0.12600493431091309,0.3544433116912842
20,NORMAL5,NORMAL15,"(496, 512)",61.53329086303711,0.22302937507629395,0.2070140838623047,0.0,0.12101101875305176,0.32802510261535645
21,NORMAL5,NORMAL2,"(496, 512)",61.5943603515625,0.22302937507629395,0.20197367668151855,0.000986337661743164,0.12001395225524902,0.3239738941192627
24,NORMAL5,NORMAL6,"(496, 512)",61.6267204284668,0.22302937507629395,0.20600008964538574,0.0009992122650146484,0.12000417709350586,0.32700347900390625
15,NORMAL5,NORMAL1,"(496, 512)",61.646053314208984,0.22302937507629395,0.20499920845031738,0.0010006427764892578,0.11955595016479492,0.32555580139160156
4,NORMAL5,AMD13,"(496, 512)",61.670677185058594,0.22302937507629395,0.29430413246154785,0.0020055770874023438,0.13097167015075684,0.4283313751220703
22,NORMAL5,NORMAL3,"(496, 512)",61.68675231933594,0.22302937507629395,0.20601630210876465,0.0010004043579101562,0.12798452377319336,0.33500123023986816
13,NORMAL5,AMD8,"(496, 512)",61.696205139160156,0.22302937507629395,0.33858370780944824,0.000997781753540039,0.13200616836547852,0.47235965728759766
5,NORMAL5,AMD14,"(496, 512)",61.71604919433594,0.22302937507629395,1.894571304321289,0.0009965896606445312,0.1519780158996582,2.047545909881592
14,NORMAL5,AMD9,"(496, 512)",61.7191047668457,0.22302937507629395,1.4109244346618652,0.0019998550415039062,0.12399744987487793,1.536921739578247
16,NORMAL5,NORMAL10,"(496, 512)",61.789180755615234,0.22302937507629395,0.20596933364868164,0.00099945068359375,0.1350102424621582,0.3429691791534424
26,NORMAL5,NORMAL8,"(496, 512)",61.7918586730957,0.22302937507629395,0.20402979850769043,0.0009970664978027344,0.12297177314758301,0.32799863815307617
11,NORMAL5,AMD6,"(496, 512)",61.84614944458008,0.22302937507629395,0.3413076400756836,0.0009932518005371094,0.12497615814208984,0.46790528297424316
25,NORMAL5,NORMAL7,"(496, 512)",61.86311721801758,0.22302937507629395,0.2039501667022705,0.0010008811950683594,0.12299919128417969,0.3289980888366699
23,NORMAL5,NORMAL4,"(496, 512)",61.88997268676758,0.22302937507629395,0.2109973430633545,0.0010051727294921875,0.1239933967590332,0.33698439598083496
27,NORMAL5,NORMAL9,"(496, 512)",61.94077682495117,0.22302937507629395,0.20599889755249023,0.0019996166229248047,0.1250007152557373,0.3340005874633789
18,NORMAL5,NORMAL13,"(496, 512)",61.95743942260742,0.22302937507629395,0.20303082466125488,0.0009982585906982422,0.12497067451477051,0.32899975776672363
19,NORMAL5,NORMAL14,"(496, 512)",62.11794662475586,0.22302937507629395,0.20298171043395996,0.0010004043579101562,0.12198376655578613,0.3270137310028076
