,query1,query2,size,siamese_distance,average_image_time_query1,average_image_time_query2,patch_retrieval_time,image_comparison_time,total_time
1,AMD8,AMD10,"(496, 512)",61.156620025634766,0.11198234558105469,0.21099495887756348,0.001001119613647461,0.11301326751708984,0.3250093460083008
8,AMD8,AMD3,"(496, 512)",61.190616607666016,0.11198234558105469,0.10802364349365234,0.000988006591796875,0.12299418449401855,0.23200583457946777
2,AMD8,AMD11,"(496, 512)",61.242679595947266,0.11198234558105469,0.08699917793273926,0.0010251998901367188,0.1129755973815918,0.2029867172241211
12,AMD8,AMD7,"(496, 512)",61.390987396240234,0.11198234558105469,0.2090303897857666,0.0009996891021728516,0.12397050857543945,0.3340005874633789
7,AMD8,AMD2,"(496, 512)",61.43488311767578,0.11198234558105469,0.11199712753295898,0.0009999275207519531,0.11300086975097656,0.2269906997680664
0,AMD8,AMD1,"(496, 512)",61.61192321777344,0.11198234558105469,0.12002992630004883,0.0010004043579101562,2.1386377811431885,2.2606658935546875
3,AMD8,AMD12,"(496, 512)",61.70562744140625,0.11198234558105469,0.08502984046936035,0.0010001659393310547,0.11298322677612305,0.19901323318481445
11,AMD8,AMD6,"(496, 512)",61.795169830322266,0.11198234558105469,0.0839991569519043,0.00099945068359375,0.12199997901916504,0.20699858665466309
22,AMD8,NORMAL4,"(496, 512)",61.84037399291992,0.11198234558105469,0.21899652481079102,0.0010297298431396484,0.12300348281860352,0.3430297374725342
9,AMD8,AMD4,"(496, 512)",61.84428405761719,0.11198234558105469,0.0830223560333252,0.0,0.12198162078857422,0.20500397682189941
16,AMD8,NORMAL12,"(496, 512)",61.85698699951172,0.11198234558105469,0.21799850463867188,0.001001119613647461,0.1230003833770752,0.34200000762939453
17,AMD8,NORMAL13,"(496, 512)",61.86563491821289,0.11198234558105469,0.21700263023376465,0.0009670257568359375,0.12102484703063965,0.3400228023529053
10,AMD8,AMD5,"(496, 512)",61.87045669555664,0.11198234558105469,0.08502507209777832,0.0020074844360351562,0.11996126174926758,0.20699381828308105
6,AMD8,AMD15,"(496, 512)",61.88273239135742,0.11198234558105469,0.10899186134338379,0.001001119613647461,0.10800981521606445,0.2180027961730957
27,AMD8,NORMAL9,"(496, 512)",61.89631652832031,0.11198234558105469,0.21898198127746582,0.0009927749633789062,0.12297964096069336,0.34400320053100586
5,AMD8,AMD14,"(496, 512)",61.91100311279297,0.11198234558105469,0.21799898147583008,0.001001119613647461,0.1130061149597168,0.3330049514770508
20,AMD8,NORMAL2,"(496, 512)",61.919654846191406,0.11198234558105469,0.21701884269714355,0.0009703636169433594,0.1250007152557373,0.343994140625
26,AMD8,NORMAL8,"(496, 512)",61.93653106689453,0.11198234558105469,0.22399473190307617,0.0010225772857666016,0.121978759765625,0.3469960689544678
18,AMD8,NORMAL14,"(496, 512)",61.94601821899414,0.11198234558105469,0.21295547485351562,0.0009999275207519531,0.12600064277648926,0.3409757614135742
23,AMD8,NORMAL5,"(496, 512)",61.946231842041016,0.11198234558105469,0.22301912307739258,0.0009996891021728516,0.12196922302246094,0.34598803520202637
4,AMD8,AMD13,"(496, 512)",61.9552116394043,0.11198234558105469,0.08600735664367676,0.0010004043579101562,0.11197996139526367,0.19898772239685059
19,AMD8,NORMAL15,"(496, 512)",61.97764205932617,0.11198234558105469,0.2220311164855957,0.0009992122650146484,0.12297725677490234,0.3460075855255127
14,AMD8,NORMAL1,"(496, 512)",61.97997283935547,0.11198234558105469,0.21802020072937012,0.0009980201721191406,0.12398195266723633,0.3430001735687256
25,AMD8,NORMAL7,"(496, 512)",62.0025749206543,0.11198234558105469,0.2220003604888916,0.0010225772857666016,0.12298059463500977,0.34600353240966797
15,AMD8,NORMAL10,"(496, 512)",62.01323318481445,0.11198234558105469,0.21899819374084473,0.0010006427764892578,0.1220102310180664,0.3439912796020508
21,AMD8,NORMAL3,"(496, 512)",62.01798629760742,0.11198234558105469,0.2220287322998047,0.00096893310546875,0.12300443649291992,0.34600210189819336
24,AMD8,NORMAL6,"(496, 512)",62.04214096069336,0.11198234558105469,0.26600217819213867,0.0010023117065429688,0.12599682807922363,0.3930013179779053
13,AMD8,AMD9,"(496, 512)",62.053077697753906,0.11198234558105469,0.21103644371032715,0.0,0.12697291374206543,0.3380093574523926
