,query1,query2,size,siamese_distance
20,AMD8,NORMAL15,"(496, 512)",62.63340377807617
7,AMD8,AMD6,"(496, 512)",62.725013732910156
3,AMD8,AMD13,"(496, 512)",62.879737854003906
13,AMD8,DME6,"(496, 512)",62.891353607177734
21,AMD8,NORMAL2,"(496, 512)",63.060768127441406
11,AMD8,DME4,"(496, 512)",63.18159103393555
25,AMD8,NORMAL6,"(496, 512)",63.21037673950195
12,AMD8,DME5,"(496, 512)",63.24296569824219
26,AMD8,NORMAL7,"(496, 512)",63.254825592041016
14,AMD8,NORMAL1,"(496, 512)",63.26167678833008
22,AMD8,NORMAL3,"(496, 512)",63.29244613647461
5,AMD8,AMD4,"(496, 512)",63.31103515625
6,AMD8,AMD5,"(496, 512)",63.33970260620117
18,AMD8,NORMAL13,"(496, 512)",63.38016128540039
4,AMD8,AMD2,"(496, 512)",63.43427658081055
19,AMD8,NORMAL14,"(496, 512)",63.474037170410156
17,AMD8,NORMAL12,"(496, 512)",63.50230407714844
28,AMD8,NORMAL9,"(496, 512)",63.62559127807617
27,AMD8,NORMAL8,"(496, 512)",63.75397872924805
15,AMD8,NORMAL10,"(496, 512)",63.84724807739258
9,AMD8,DME2,"(496, 512)",63.94961166381836
23,AMD8,NORMAL4,"(496, 512)",63.95561599731445
2,AMD8,AMD12,"(496, 512)",63.96306610107422
16,AMD8,NORMAL11,"(496, 512)",64.14730072021484
8,AMD8,DME1,"(496, 512)",64.19316864013672
1,AMD8,AMD11,"(496, 512)",64.38884735107422
24,AMD8,NORMAL5,"(496, 512)",64.5165786743164
10,AMD8,DME3,"(496, 512)",64.55133819580078
0,AMD8,AMD1,"(496, 512)",64.61071014404297
