,query1,query2,size,siamese_distance
7,DME6,AMD6,"(496, 512)",62.75754165649414
20,DME6,NORMAL15,"(496, 512)",62.80936050415039
3,DME6,AMD13,"(496, 512)",62.84855270385742
8,DME6,AMD8,"(496, 512)",62.891353607177734
21,DME6,NORMAL2,"(496, 512)",62.892539978027344
18,DME6,NORMAL13,"(496, 512)",62.8961296081543
25,DME6,NORMAL6,"(496, 512)",62.920616149902344
13,DME6,DME5,"(496, 512)",62.9243049621582
5,DME6,AMD4,"(496, 512)",62.985870361328125
4,DME6,AMD2,"(496, 512)",63.103843688964844
28,DME6,NORMAL9,"(496, 512)",63.143516540527344
19,DME6,NORMAL14,"(496, 512)",63.15715408325195
6,DME6,AMD5,"(496, 512)",63.158451080322266
26,DME6,NORMAL7,"(496, 512)",63.16765594482422
12,DME6,DME4,"(496, 512)",63.29775619506836
14,DME6,NORMAL1,"(496, 512)",63.34162902832031
27,DME6,NORMAL8,"(496, 512)",63.403480529785156
22,DME6,NORMAL3,"(496, 512)",63.453025817871094
23,DME6,NORMAL4,"(496, 512)",63.519588470458984
17,DME6,NORMAL12,"(496, 512)",63.5393180847168
15,DME6,NORMAL10,"(496, 512)",63.59123229980469
10,DME6,DME2,"(496, 512)",63.59236145019531
2,DME6,AMD12,"(496, 512)",63.7427978515625
9,DME6,DME1,"(496, 512)",63.76484680175781
0,DME6,AMD1,"(496, 512)",64.07024383544922
24,DME6,NORMAL5,"(496, 512)",64.14744567871094
1,DME6,AMD11,"(496, 512)",64.20793151855469
16,DME6,NORMAL11,"(496, 512)",64.30018615722656
11,DME6,DME3,"(496, 512)",64.5606918334961
