,query1,query2,size,siamese_distance,time
30,AMD6,NORMAL10,"(496, 512)",62.380126953125,0.281221866607666
14,AMD6,DME1,"(496, 512)",62.38091278076172,0.2968578338623047
32,AMD6,NORMAL13,"(496, 512)",62.3945426940918,0.29685544967651367
33,AMD6,NORMAL14,"(496, 512)",62.39628219604492,0.2812492847442627
38,AMD6,NORMAL5,"(496, 512)",62.39921188354492,0.28122758865356445
24,AMD6,DME5,"(496, 512)",62.40864181518555,0.2969200611114502
27,AMD6,DME8,"(496, 512)",62.42076110839844,0.24999427795410156
28,AMD6,DME9,"(496, 512)",62.42445755004883,0.25000715255737305
2,AMD6,AMD11,"(496, 512)",62.430824279785156,0.187514066696167
20,AMD6,DME15,"(496, 512)",62.432003021240234,0.25000596046447754
25,AMD6,DME6,"(496, 512)",62.446189880371094,0.296858549118042
42,AMD6,NORMAL9,"(496, 512)",62.45079803466797,0.29689669609069824
37,AMD6,NORMAL4,"(496, 512)",62.45588684082031,0.29689717292785645
39,AMD6,NORMAL6,"(496, 512)",62.46277618408203,0.2968761920928955
18,AMD6,DME13,"(496, 512)",62.46932601928711,0.23438119888305664
26,AMD6,DME7,"(496, 512)",62.48125076293945,0.2343735694885254
15,AMD6,DME10,"(496, 512)",62.492855072021484,0.17188525199890137
41,AMD6,NORMAL8,"(496, 512)",62.506282806396484,0.2812216281890869
16,AMD6,DME11,"(496, 512)",62.5111083984375,0.2343754768371582
13,AMD6,AMD9,"(496, 512)",62.520328521728516,0.2968728542327881
40,AMD6,NORMAL7,"(496, 512)",62.52748107910156,0.29687976837158203
12,AMD6,AMD8,"(496, 512)",62.527591705322266,0.1719067096710205
4,AMD6,AMD13,"(496, 512)",62.52884292602539,0.17186737060546875
8,AMD6,AMD3,"(496, 512)",62.53205490112305,0.18751049041748047
17,AMD6,DME12,"(496, 512)",62.53512191772461,0.25
9,AMD6,AMD4,"(496, 512)",62.542884826660156,0.1874983310699463
36,AMD6,NORMAL3,"(496, 512)",62.5479850769043,0.2968752384185791
5,AMD6,AMD14,"(496, 512)",62.54860305786133,0.28125786781311035
3,AMD6,AMD12,"(496, 512)",62.56024169921875,0.17186760902404785
23,AMD6,DME4,"(496, 512)",62.57551956176758,0.29685401916503906
11,AMD6,AMD7,"(496, 512)",62.57722473144531,0.2812182903289795
21,AMD6,DME2,"(496, 512)",62.58148956298828,0.2812225818634033
19,AMD6,DME14,"(496, 512)",62.58220672607422,0.24999380111694336
29,AMD6,NORMAL1,"(496, 512)",62.59284210205078,0.2968745231628418
34,AMD6,NORMAL15,"(496, 512)",62.60816955566406,0.29688382148742676
7,AMD6,AMD2,"(496, 512)",62.618560791015625,0.20311594009399414
35,AMD6,NORMAL2,"(496, 512)",62.641822814941406,0.2812628746032715
31,AMD6,NORMAL12,"(496, 512)",62.6419677734375,0.29689526557922363
0,AMD6,AMD1,"(496, 512)",62.64516067504883,0.2031238079071045
10,AMD6,AMD5,"(496, 512)",62.6541633605957,0.17188382148742676
1,AMD6,AMD10,"(496, 512)",62.658809661865234,0.281235933303833
22,AMD6,DME3,"(496, 512)",62.73353958129883,0.29689598083496094
6,AMD6,AMD15,"(496, 512)",62.772430419921875,0.203125
