,query1,query2,size,siamese_distance,time
30,NORMAL3,NORMAL1,"(496, 512)",62.905517578125,0.29688286781311035
14,NORMAL3,AMD9,"(496, 512)",63.158790588378906,0.2968719005584717
13,NORMAL3,AMD8,"(496, 512)",63.17885208129883,0.17185640335083008
35,NORMAL3,NORMAL15,"(496, 512)",63.18505096435547,0.3125028610229492
39,NORMAL3,NORMAL6,"(496, 512)",63.25328063964844,0.31250977516174316
40,NORMAL3,NORMAL7,"(496, 512)",63.37405776977539,0.2968590259552002
27,NORMAL3,DME7,"(496, 512)",63.545101165771484,0.2343757152557373
5,NORMAL3,AMD14,"(496, 512)",63.553714752197266,0.2812037467956543
32,NORMAL3,NORMAL12,"(496, 512)",63.5970344543457,0.31247901916503906
24,NORMAL3,DME4,"(496, 512)",63.62931823730469,0.2968618869781494
36,NORMAL3,NORMAL2,"(496, 512)",63.629600524902344,0.2812483310699463
31,NORMAL3,NORMAL10,"(496, 512)",63.73637390136719,0.29686737060546875
4,NORMAL3,AMD13,"(496, 512)",63.73822021484375,0.1875464916229248
25,NORMAL3,DME5,"(496, 512)",63.826663970947266,0.3124995231628418
37,NORMAL3,NORMAL4,"(496, 512)",63.85247039794922,0.29692721366882324
26,NORMAL3,DME6,"(496, 512)",63.89057922363281,0.29689717292785645
42,NORMAL3,NORMAL9,"(496, 512)",63.94266891479492,0.29689455032348633
41,NORMAL3,NORMAL8,"(496, 512)",63.94293975830078,0.29685354232788086
18,NORMAL3,DME12,"(496, 512)",63.9476203918457,0.2500011920928955
34,NORMAL3,NORMAL14,"(496, 512)",63.997962951660156,0.281247615814209
21,NORMAL3,DME15,"(496, 512)",64.01761627197266,0.24999141693115234
15,NORMAL3,DME1,"(496, 512)",64.03271484375,0.2968752384185791
33,NORMAL3,NORMAL13,"(496, 512)",64.04251861572266,0.2968740463256836
28,NORMAL3,DME8,"(496, 512)",64.07201385498047,0.24997806549072266
38,NORMAL3,NORMAL5,"(496, 512)",64.1551513671875,0.29685187339782715
10,NORMAL3,AMD5,"(496, 512)",64.2040023803711,0.18747758865356445
11,NORMAL3,AMD6,"(496, 512)",64.22933197021484,0.17189741134643555
19,NORMAL3,DME13,"(496, 512)",64.31622314453125,0.24997735023498535
9,NORMAL3,AMD4,"(496, 512)",64.59982299804688,0.17189455032348633
29,NORMAL3,DME9,"(496, 512)",64.71526336669922,0.25002169609069824
22,NORMAL3,DME2,"(496, 512)",64.7303695678711,0.2812471389770508
3,NORMAL3,AMD12,"(496, 512)",64.83219146728516,0.1874983310699463
6,NORMAL3,AMD15,"(496, 512)",64.90593719482422,0.20314717292785645
20,NORMAL3,DME14,"(496, 512)",65.17188262939453,0.2500128746032715
0,NORMAL3,AMD1,"(496, 512)",65.41496276855469,0.20312070846557617
16,NORMAL3,DME10,"(496, 512)",65.41764831542969,0.1718759536743164
17,NORMAL3,DME11,"(496, 512)",65.46220397949219,0.25002145767211914
12,NORMAL3,AMD7,"(496, 512)",65.5392837524414,0.2968733310699463
7,NORMAL3,AMD2,"(496, 512)",65.5877685546875,0.2031245231628418
23,NORMAL3,DME3,"(496, 512)",65.78938293457031,0.2968869209289551
2,NORMAL3,AMD11,"(496, 512)",65.85337829589844,0.1718766689300537
8,NORMAL3,AMD3,"(496, 512)",66.15571594238281,0.20310592651367188
1,NORMAL3,AMD10,"(496, 512)",66.59830474853516,0.2968740463256836
