,query1,query2,size,siamese_distance
21,AMD12,DME2,"(496, 512)",62.27756118774414
22,AMD12,DME3,"(496, 512)",62.28615951538086
28,AMD12,DME9,"(496, 512)",62.29829788208008
18,AMD12,DME13,"(496, 512)",62.31073760986328
19,AMD12,DME14,"(496, 512)",62.325096130371094
6,AMD12,AMD2,"(496, 512)",62.328216552734375
0,AMD12,AMD1,"(496, 512)",62.356056213378906
35,AMD12,NORMAL2,"(496, 512)",62.38230895996094
11,AMD12,AMD7,"(496, 512)",62.390052795410156
5,AMD12,AMD15,"(496, 512)",62.40531539916992
3,AMD12,AMD13,"(496, 512)",62.4168586730957
26,AMD12,DME7,"(496, 512)",62.42755126953125
16,AMD12,DME11,"(496, 512)",62.4403190612793
30,AMD12,NORMAL10,"(496, 512)",62.44319152832031
8,AMD12,AMD4,"(496, 512)",62.44371032714844
15,AMD12,DME10,"(496, 512)",62.452423095703125
33,AMD12,NORMAL14,"(496, 512)",62.45460510253906
24,AMD12,DME5,"(496, 512)",62.463985443115234
27,AMD12,DME8,"(496, 512)",62.466575622558594
40,AMD12,NORMAL7,"(496, 512)",62.47596740722656
32,AMD12,NORMAL13,"(496, 512)",62.47996139526367
13,AMD12,AMD9,"(496, 512)",62.484832763671875
10,AMD12,AMD6,"(496, 512)",62.511993408203125
20,AMD12,DME15,"(496, 512)",62.52117919921875
14,AMD12,DME1,"(496, 512)",62.5279655456543
41,AMD12,NORMAL8,"(496, 512)",62.53203582763672
38,AMD12,NORMAL5,"(496, 512)",62.53373336791992
4,AMD12,AMD14,"(496, 512)",62.535987854003906
2,AMD12,AMD11,"(496, 512)",62.5422477722168
39,AMD12,NORMAL6,"(496, 512)",62.54966735839844
25,AMD12,DME6,"(496, 512)",62.558189392089844
42,AMD12,NORMAL9,"(496, 512)",62.55959701538086
9,AMD12,AMD5,"(496, 512)",62.57334899902344
29,AMD12,NORMAL1,"(496, 512)",62.580074310302734
17,AMD12,DME12,"(496, 512)",62.58428192138672
36,AMD12,NORMAL3,"(496, 512)",62.58763122558594
34,AMD12,NORMAL15,"(496, 512)",62.59463882446289
23,AMD12,DME4,"(496, 512)",62.59599685668945
12,AMD12,AMD8,"(496, 512)",62.62776565551758
37,AMD12,NORMAL4,"(496, 512)",62.64631652832031
31,AMD12,NORMAL12,"(496, 512)",62.64852523803711
7,AMD12,AMD3,"(496, 512)",63.03130340576172
1,AMD12,AMD10,"(496, 512)",63.08327102661133
