,query1,query2,size,siamese_distance,average_image_time_query1,average_image_time_query2,patch_retrieval_time,image_comparison_time,total_time
3,DME3,AMD12,"(496, 512)",62.60210418701172,0.21059370040893555,0.08002901077270508,0.0,0.11698436737060547,0.19701337814331055
2,DME3,AMD11,"(496, 512)",62.610084533691406,0.21059370040893555,0.08303070068359375,0.0009992122650146484,0.11797142028808594,0.20200133323669434
7,DME3,AMD2,"(496, 512)",62.652915954589844,0.21059370040893555,0.10402297973632812,0.0009999275207519531,0.11597728729248047,0.22100019454956055
6,DME3,AMD15,"(496, 512)",62.65399169921875,0.21059370040893555,0.10296964645385742,0.0010004043579101562,0.11500072479248047,0.21897077560424805
12,DME3,AMD7,"(496, 512)",62.73333740234375,0.21059370040893555,0.19799566268920898,0.0020017623901367188,0.12000870704650879,0.3200061321258545
0,DME3,AMD1,"(496, 512)",62.73572540283203,0.21059370040893555,0.10497546195983887,0.0010004043579101562,0.11501598358154297,0.220991849899292
20,DME3,DME14,"(496, 512)",62.804481506347656,0.21059370040893555,0.15603399276733398,0.0010023117065429688,0.11897110939025879,0.27600741386413574
1,DME3,AMD10,"(496, 512)",62.860164642333984,0.21059370040893555,0.2060084342956543,0.0009768009185791016,0.11802172660827637,0.32500696182250977
16,DME3,DME10,"(496, 512)",62.93494415283203,0.21059370040893555,0.09102845191955566,0.0,0.11797213554382324,0.2090005874633789
8,DME3,AMD3,"(496, 512)",62.995094299316406,0.21059370040893555,0.10699892044067383,0.0010001659393310547,0.11700129508972168,0.22500038146972656
17,DME3,DME11,"(496, 512)",63.057861328125,0.21059370040893555,0.15099883079528809,0.0010006427764892578,0.11700105667114258,0.2690005302429199
28,DME3,DME9,"(496, 512)",63.09711456298828,0.21059370040893555,0.15400075912475586,0.00099945068359375,0.11650776863098145,0.27150797843933105
22,DME3,DME2,"(496, 512)",63.20724105834961,0.21059370040893555,0.21602416038513184,0.0010023117065429688,0.11697077751159668,0.3339972496032715
19,DME3,DME13,"(496, 512)",63.2545166015625,0.21059370040893555,0.15402007102966309,0.0009992122650146484,0.11496901512145996,0.2699882984161377
9,DME3,AMD4,"(496, 512)",63.31190490722656,0.21059370040893555,0.08002281188964844,0.0009992122650146484,0.11497902870178223,0.1960010528564453
27,DME3,DME8,"(496, 512)",63.38865280151367,0.21059370040893555,0.15402841567993164,0.0,0.11996793746948242,0.27399635314941406
15,DME3,DME1,"(496, 512)",63.42363739013672,0.21059370040893555,0.21402597427368164,0.0009510517120361328,0.11599993705749512,0.3309769630432129
5,DME3,AMD14,"(496, 512)",63.4389533996582,0.21059370040893555,0.2000107765197754,0.0010182857513427734,0.11896872520446777,0.31999778747558594
10,DME3,AMD5,"(496, 512)",63.45059585571289,0.21059370040893555,0.08003091812133789,0.0009975433349609375,0.11897063255310059,0.19999909400939941
38,DME3,NORMAL5,"(496, 512)",63.453372955322266,0.21059370040893555,0.21500134468078613,0.0,0.11499929428100586,0.330000638961792
26,DME3,DME7,"(496, 512)",63.561038970947266,0.21059370040893555,0.1530303955078125,0.0010001659393310547,0.116973876953125,0.27100443840026855
33,DME3,NORMAL14,"(496, 512)",63.590538024902344,0.21059370040893555,0.2090282440185547,0.0009992122650146484,0.11799430847167969,0.328021764755249
11,DME3,AMD6,"(496, 512)",63.618492126464844,0.21059370040893555,0.08302140235900879,0.0010006427764892578,0.1179807186126709,0.20200276374816895
14,DME3,AMD9,"(496, 512)",63.677093505859375,0.21059370040893555,0.20203089714050293,0.0009999275207519531,0.11797213554382324,0.3210029602050781
40,DME3,NORMAL7,"(496, 512)",63.68100357055664,0.21059370040893555,0.20502734184265137,0.001001119613647461,0.11697077751159668,0.3229992389678955
29,DME3,NORMAL1,"(496, 512)",63.68110656738281,0.21059370040893555,0.2090005874633789,0.0009996891021728516,0.11500024795532227,0.325000524520874
36,DME3,NORMAL3,"(496, 512)",63.6861457824707,0.21059370040893555,0.20800018310546875,0.0009999275207519531,0.11697053909301758,0.3259706497192383
18,DME3,DME12,"(496, 512)",63.711727142333984,0.21059370040893555,0.15503334999084473,0.0009992122650146484,0.11697769165039062,0.27301025390625
21,DME3,DME15,"(496, 512)",63.716373443603516,0.21059370040893555,0.15201544761657715,0.0010139942169189453,0.11901021003723145,0.27203965187072754
13,DME3,AMD8,"(496, 512)",63.72722244262695,0.21059370040893555,0.0830230712890625,0.0009675025939941406,0.11499881744384766,0.1989893913269043
34,DME3,NORMAL15,"(496, 512)",63.73700714111328,0.21059370040893555,0.21397709846496582,0.0010006427764892578,0.11499929428100586,0.32997703552246094
23,DME3,DME4,"(496, 512)",63.770450592041016,0.21059370040893555,0.21002435684204102,0.0009748935699462891,0.11600208282470703,0.32700133323669434
24,DME3,DME5,"(496, 512)",63.77377700805664,0.21059370040893555,0.20999765396118164,0.0,0.12000918388366699,0.33000683784484863
4,DME3,AMD13,"(496, 512)",63.7774658203125,0.21059370040893555,0.08198666572570801,0.0010213851928710938,0.11497879028320312,0.19798684120178223
39,DME3,NORMAL6,"(496, 512)",63.80038833618164,0.21059370040893555,0.21303105354309082,0.0009996891021728516,0.11697053909301758,0.3320016860961914
25,DME3,DME6,"(496, 512)",63.841190338134766,0.21059370040893555,0.21499156951904297,0.0009987354278564453,0.11800193786621094,0.33399224281311035
31,DME3,NORMAL12,"(496, 512)",63.84917068481445,0.21059370040893555,0.21602892875671387,0.00099945068359375,0.11597013473510742,0.33299851417541504
37,DME3,NORMAL4,"(496, 512)",63.853050231933594,0.21059370040893555,0.21203041076660156,0.0009965896606445312,0.11597108840942383,0.3289980888366699
32,DME3,NORMAL13,"(496, 512)",63.85988235473633,0.21059370040893555,0.2120215892791748,0.0009999275207519531,0.11698007583618164,0.3300015926361084
