,query image,k,reciprocal rank for k = 3,average precision for k = 3,reciprocal rank for k = 5,average precision for k = 5,reciprocal rank for k = 7,average precision for k = 7,time in seconds
0,AMD1,"3, 5, 7",1.0,0.6666666666666666,1.0,0.4,1.0,0.42857142857142855,14.911574363708496
1,AMD10,"3, 5, 7",0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,12.359238386154175
2,AMD11,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.42857142857142855,12.541887044906616
3,AMD12,"3, 5, 7",0.5,0.6666666666666666,0.5,0.4,0.5,0.2857142857142857,12.378222703933716
4,AMD13,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.42857142857142855,12.515236854553223
5,AMD14,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.8571428571428571,12.380968809127808
6,AMD15,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.2857142857142857,12.504541397094727
7,AMD2,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.2857142857142857,12.386027812957764
8,AMD3,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,12.497638940811157
9,AMD4,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.42857142857142855,12.359082221984863
10,AMD5,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.42857142857142855,12.512563228607178
11,AMD6,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.42857142857142855,12.460041046142578
12,AMD7,"3, 5, 7",1.0,0.3333333333333333,1.0,0.2,1.0,0.2857142857142857,12.471593856811523
13,AMD8,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.8571428571428571,12.448628664016724
14,AMD9,"3, 5, 7",0.5,0.6666666666666666,0.5,0.8,0.5,0.7142857142857143,12.79124402999878
15,DME1,"3, 5, 7",0.0,0.0,0.2,0.2,0.2,0.14285714285714285,12.419005393981934
16,DME10,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.2857142857142857,12.465075254440308
17,DME11,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,12.380481719970703
18,DME12,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.14285714285714285,12.438140630722046
19,DME13,"3, 5, 7",0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,12.373060703277588
20,DME14,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,12.41112232208252
21,DME15,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.14285714285714285,12.520166397094727
22,DME2,"3, 5, 7",0.0,0.0,0.2,0.2,0.2,0.14285714285714285,12.3535475730896
23,DME3,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,12.515599489212036
24,DME4,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.14285714285714285,12.388132095336914
25,DME5,"3, 5, 7",1.0,0.3333333333333333,1.0,0.2,1.0,0.14285714285714285,12.443030595779419
26,DME6,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.2857142857142857,12.348082304000854
27,DME7,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.14285714285714285,12.480632781982422
28,DME8,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.14285714285714285,12.365121603012085
29,DME9,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,12.455994606018066
30,NORMAL1,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,12.367969274520874
31,NORMAL10,"3, 5, 7",1.0,0.6666666666666666,1.0,0.4,1.0,0.42857142857142855,12.46951961517334
32,NORMAL12,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,12.387134790420532
33,NORMAL13,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.42857142857142855,12.449638605117798
34,NORMAL14,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.42857142857142855,12.374761581420898
35,NORMAL15,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,12.510131597518921
36,NORMAL2,"3, 5, 7",0.5,0.6666666666666666,0.5,0.4,0.5,0.5714285714285714,12.4218168258667
37,NORMAL3,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,12.626478910446167
38,NORMAL4,"3, 5, 7",0.0,0.0,0.2,0.2,0.2,0.42857142857142855,12.505073308944702
39,NORMAL5,"3, 5, 7",0.5,0.3333333333333333,0.5,0.4,0.5,0.2857142857142857,12.479165077209473
40,NORMAL6,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.14285714285714285,12.39657473564148
41,NORMAL7,"3, 5, 7",0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,12.519504308700562
42,NORMAL8,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.42857142857142855,12.437171936035156
43,NORMAL9,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.42857142857142855,12.477746486663818
44,Average MAP and MRR,"3, 5, 7",0.32575757575757586,0.2575757575757576,0.3734848484848485,0.2545454545454546,0.38430735930735926,0.26948051948051954,550.298369884491
