,query1,query2,size,siamese_distance,time
17,DME3,DME11,"(496, 512)",62.480438232421875,0.2587902545928955
16,DME3,DME10,"(496, 512)",62.525333404541016,0.1875009536743164
12,DME3,AMD7,"(496, 512)",62.53205108642578,0.2968776226043701
28,DME3,DME9,"(496, 512)",62.53260803222656,0.25682783126831055
0,DME3,AMD1,"(496, 512)",62.582481384277344,0.2031114101409912
22,DME3,DME2,"(496, 512)",62.588539123535156,0.29625844955444336
19,DME3,DME13,"(496, 512)",62.61652755737305,0.2465379238128662
3,DME3,AMD12,"(496, 512)",62.61872100830078,0.1958177089691162
7,DME3,AMD2,"(496, 512)",62.650001525878906,0.20310187339782715
20,DME3,DME14,"(496, 512)",62.6860237121582,0.2581446170806885
30,DME3,NORMAL10,"(496, 512)",62.73496627807617,0.30994153022766113
27,DME3,DME8,"(496, 512)",62.772274017333984,0.2506082057952881
6,DME3,AMD15,"(496, 512)",62.77735137939453,0.19234657287597656
42,DME3,NORMAL9,"(496, 512)",62.82402038574219,0.2937049865722656
24,DME3,DME5,"(496, 512)",62.82721710205078,0.29531049728393555
11,DME3,AMD6,"(496, 512)",62.84419631958008,0.17525386810302734
33,DME3,NORMAL14,"(496, 512)",62.852027893066406,0.3018054962158203
32,DME3,NORMAL13,"(496, 512)",62.855567932128906,0.28571152687072754
9,DME3,AMD4,"(496, 512)",62.87395095825195,0.17189621925354004
25,DME3,DME6,"(496, 512)",62.874107360839844,0.30209898948669434
35,DME3,NORMAL2,"(496, 512)",62.87826156616211,0.3050267696380615
2,DME3,AMD11,"(496, 512)",62.87859344482422,0.17185211181640625
21,DME3,DME15,"(496, 512)",62.87884521484375,0.2544400691986084
26,DME3,DME7,"(496, 512)",62.88730239868164,0.25253796577453613
38,DME3,NORMAL5,"(496, 512)",62.89796447753906,0.3040587902069092
4,DME3,AMD13,"(496, 512)",62.899471282958984,0.17040467262268066
41,DME3,NORMAL8,"(496, 512)",62.902198791503906,0.30540037155151367
5,DME3,AMD14,"(496, 512)",62.90621566772461,0.2997119426727295
15,DME3,DME1,"(496, 512)",62.917991638183594,0.2978992462158203
31,DME3,NORMAL12,"(496, 512)",62.930702209472656,0.3034348487854004
18,DME3,DME12,"(496, 512)",62.947696685791016,0.24351835250854492
39,DME3,NORMAL6,"(496, 512)",62.95415115356445,0.2968618869781494
14,DME3,AMD9,"(496, 512)",62.97420120239258,0.29688286781311035
37,DME3,NORMAL4,"(496, 512)",62.97965621948242,0.29074740409851074
29,DME3,NORMAL1,"(496, 512)",62.99151611328125,0.2915191650390625
40,DME3,NORMAL7,"(496, 512)",63.00379180908203,0.30788588523864746
36,DME3,NORMAL3,"(496, 512)",63.01152038574219,0.30982422828674316
23,DME3,DME4,"(496, 512)",63.027645111083984,0.2977745532989502
1,DME3,AMD10,"(496, 512)",63.03107452392578,0.30638933181762695
10,DME3,AMD5,"(496, 512)",63.03892135620117,0.18747830390930176
34,DME3,NORMAL15,"(496, 512)",63.04847717285156,0.29796648025512695
8,DME3,AMD3,"(496, 512)",63.14275360107422,0.21001148223876953
13,DME3,AMD8,"(496, 512)",63.147666931152344,0.17605090141296387
