,query1,query2,size,siamese_distance,time
4,AMD7,AMD13,"(496, 512)",59.344051361083984,0.185760498046875
12,AMD7,AMD8,"(496, 512)",59.547855377197266,0.18988490104675293
8,AMD7,AMD3,"(496, 512)",59.71976852416992,0.20311951637268066
23,AMD7,DME4,"(496, 512)",59.73965072631836,0.31249117851257324
13,AMD7,AMD9,"(496, 512)",59.75918960571289,0.29689621925354004
25,AMD7,DME6,"(496, 512)",59.7781982421875,0.3171069622039795
10,AMD7,AMD5,"(496, 512)",59.8375244140625,0.1719045639038086
17,AMD7,DME12,"(496, 512)",59.92218017578125,0.26560521125793457
5,AMD7,AMD14,"(496, 512)",59.926692962646484,0.30076074600219727
20,AMD7,DME15,"(496, 512)",59.96263885498047,0.2680187225341797
27,AMD7,DME8,"(496, 512)",59.97440719604492,0.2553529739379883
24,AMD7,DME5,"(496, 512)",60.01505661010742,0.2990734577178955
14,AMD7,DME1,"(496, 512)",60.03653335571289,0.29903507232666016
26,AMD7,DME7,"(496, 512)",60.14912414550781,0.2656266689300537
2,AMD7,AMD11,"(496, 512)",60.19617462158203,0.18981337547302246
1,AMD7,AMD10,"(496, 512)",60.221248626708984,0.312471866607666
11,AMD7,AMD6,"(496, 512)",60.248294830322266,0.18747949600219727
6,AMD7,AMD15,"(496, 512)",60.31742858886719,0.2030930519104004
9,AMD7,AMD4,"(496, 512)",60.36405944824219,0.19199919700622559
21,AMD7,DME2,"(496, 512)",60.609535217285156,0.2968747615814209
3,AMD7,AMD12,"(496, 512)",60.64720153808594,0.1875298023223877
28,AMD7,DME9,"(496, 512)",60.670230865478516,0.24689435958862305
19,AMD7,DME14,"(496, 512)",60.67073059082031,0.2656526565551758
18,AMD7,DME13,"(496, 512)",60.696102142333984,0.23892498016357422
7,AMD7,AMD2,"(496, 512)",60.697940826416016,0.22114229202270508
0,AMD7,AMD1,"(496, 512)",60.699127197265625,0.20015192031860352
22,AMD7,DME3,"(496, 512)",60.79869842529297,0.33032894134521484
15,AMD7,DME10,"(496, 512)",60.84342956542969,0.18749117851257324
16,AMD7,DME11,"(496, 512)",61.03148651123047,0.2521696090698242
