,query1,query2,size,siamese_distance
13,DME11,AMD8,"(496, 512)",59.506431579589844
8,DME11,AMD3,"(496, 512)",59.58378982543945
4,DME11,AMD13,"(496, 512)",59.609657287597656
23,DME11,DME4,"(496, 512)",59.709537506103516
10,DME11,AMD5,"(496, 512)",59.718902587890625
14,DME11,AMD9,"(496, 512)",59.81923294067383
17,DME11,DME12,"(496, 512)",59.92755889892578
25,DME11,DME6,"(496, 512)",59.92860794067383
5,DME11,AMD14,"(496, 512)",60.05110549926758
20,DME11,DME15,"(496, 512)",60.07200622558594
24,DME11,DME5,"(496, 512)",60.121456146240234
1,DME11,AMD10,"(496, 512)",60.12947463989258
26,DME11,DME7,"(496, 512)",60.1594123840332
15,DME11,DME1,"(496, 512)",60.160301208496094
27,DME11,DME8,"(496, 512)",60.19661331176758
11,DME11,AMD6,"(496, 512)",60.197120666503906
9,DME11,AMD4,"(496, 512)",60.208984375
2,DME11,AMD11,"(496, 512)",60.26580810546875
6,DME11,AMD15,"(496, 512)",60.2673454284668
22,DME11,DME3,"(496, 512)",60.64524841308594
3,DME11,AMD12,"(496, 512)",60.64602279663086
18,DME11,DME13,"(496, 512)",60.770042419433594
7,DME11,AMD2,"(496, 512)",60.77315139770508
19,DME11,DME14,"(496, 512)",60.810150146484375
21,DME11,DME2,"(496, 512)",60.82276153564453
28,DME11,DME9,"(496, 512)",60.925968170166016
16,DME11,DME10,"(496, 512)",60.9398193359375
0,DME11,AMD1,"(496, 512)",60.95928192138672
12,DME11,AMD7,"(496, 512)",61.03148651123047
