,query image,k,reciprocal rank for k = 3,average precision for k = 3,reciprocal rank for k = 5,average precision for k = 5,reciprocal rank for k = 7,average precision for k = 7,time in seconds
0,AMD1,"3, 5, 7",0.0,0.0,0.25,0.4,0.25,0.2857142857142857,8.122974872589111
1,AMD10,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.7142857142857143,7.993509769439697
2,AMD11,"3, 5, 7",0.5,0.6666666666666666,0.5,0.6,0.5,0.42857142857142855,8.013542652130127
3,AMD12,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.9880146980285645
4,AMD13,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714,8.033115148544312
5,AMD14,"3, 5, 7",0.5,0.6666666666666666,0.5,0.4,0.5,0.2857142857142857,7.875149726867676
6,AMD15,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.2857142857142857,7.937994003295898
7,AMD2,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.42857142857142855,7.864556789398193
8,AMD3,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.5714285714285714,7.866569995880127
9,AMD4,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.42857142857142855,7.923569440841675
10,AMD5,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.2857142857142857,7.831545829772949
11,AMD6,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.2857142857142857,7.85461163520813
12,AMD7,"3, 5, 7",0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,7.793620586395264
13,AMD8,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.42857142857142855,7.9692323207855225
14,AMD9,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.42857142857142855,7.844104290008545
15,DME1,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,7.8299994468688965
16,DME10,"3, 5, 7",0.5,0.3333333333333333,0.5,0.6,0.5,0.5714285714285714,7.963574409484863
17,DME11,"3, 5, 7",0.5,0.6666666666666666,0.5,0.4,0.5,0.5714285714285714,7.850592851638794
18,DME12,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.5714285714285714,7.842059135437012
19,DME13,"3, 5, 7",0.5,0.6666666666666666,0.5,0.6,0.5,0.5714285714285714,7.9515087604522705
20,DME14,"3, 5, 7",0.5,0.6666666666666666,0.5,0.6,0.5,0.7142857142857143,7.95955228805542
21,DME15,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.7142857142857143,7.895022392272949
22,DME2,"3, 5, 7",0.5,0.6666666666666666,0.5,0.6,0.5,0.5714285714285714,7.944674968719482
23,DME3,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.7142857142857143,7.8416314125061035
24,DME4,"3, 5, 7",0.0,0.0,0.25,0.4,0.25,0.2857142857142857,7.839113712310791
25,DME5,"3, 5, 7",0.0,0.0,0.25,0.4,0.25,0.42857142857142855,7.949063062667847
26,DME6,"3, 5, 7",1.0,0.6666666666666666,1.0,0.4,1.0,0.5714285714285714,7.9040162563323975
27,DME7,"3, 5, 7",0.5,0.6666666666666666,0.5,0.6,0.5,0.5714285714285714,7.8390703201293945
28,DME8,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.5714285714285714,7.999053001403809
29,DME9,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.7142857142857143,7.87316632270813
30,Average MAP and MRR,"3, 5, 7",0.5555555555555556,0.49999999999999983,0.6055555555555556,0.4866666666666667,0.6103174603174604,0.48095238095238085,237.39421010017395
