,query1,query2,size,siamese_distance,time
11,DME12,AMD6,"(496, 512)",62.4348030090332,0.1809699535369873
26,DME12,DME7,"(496, 512)",62.46752166748047,0.24801182746887207
10,DME12,AMD5,"(496, 512)",62.494422912597656,0.17802929878234863
9,DME12,AMD4,"(496, 512)",62.49456024169922,0.17902612686157227
24,DME12,DME5,"(496, 512)",62.50675964355469,0.29600954055786133
20,DME12,DME15,"(496, 512)",62.51539993286133,0.2480180263519287
5,DME12,AMD14,"(496, 512)",62.52574920654297,0.296323299407959
18,DME12,DME13,"(496, 512)",62.54619598388672,0.24900031089782715
25,DME12,DME6,"(496, 512)",62.54753112792969,0.29898715019226074
27,DME12,DME8,"(496, 512)",62.56563949584961,0.252016544342041
15,DME12,DME1,"(496, 512)",62.57579803466797,0.30235815048217773
6,DME12,AMD15,"(496, 512)",62.59292221069336,0.20502328872680664
23,DME12,DME4,"(496, 512)",62.60020446777344,0.30800461769104004
14,DME12,AMD9,"(496, 512)",62.613975524902344,0.29900050163269043
28,DME12,DME9,"(496, 512)",62.62623596191406,0.25397181510925293
12,DME12,AMD7,"(496, 512)",62.67901611328125,0.2920687198638916
13,DME12,AMD8,"(496, 512)",62.702884674072266,0.18862557411193848
3,DME12,AMD12,"(496, 512)",62.710792541503906,0.18500232696533203
21,DME12,DME2,"(496, 512)",62.72709655761719,0.2992820739746094
4,DME12,AMD13,"(496, 512)",62.74395751953125,0.186997652053833
22,DME12,DME3,"(496, 512)",62.74717330932617,0.2979757785797119
17,DME12,DME11,"(496, 512)",62.795989990234375,0.2500429153442383
19,DME12,DME14,"(496, 512)",62.79943084716797,0.24899935722351074
16,DME12,DME10,"(496, 512)",62.806915283203125,0.17799592018127441
7,DME12,AMD2,"(496, 512)",62.812252044677734,0.20200109481811523
0,DME12,AMD1,"(496, 512)",62.83695983886719,0.20798707008361816
2,DME12,AMD11,"(496, 512)",62.881011962890625,0.17800021171569824
8,DME12,AMD3,"(496, 512)",62.90659713745117,0.202561616897583
1,DME12,AMD10,"(496, 512)",63.01631164550781,0.2999911308288574
