,query1,query2,size,siamese_distance,time
0,NORMAL12,AMD1,"(496, 512)",62.17981719970703,0.20310020446777344
1,NORMAL12,AMD10,"(496, 512)",62.2359733581543,0.28356480598449707
2,NORMAL12,AMD11,"(496, 512)",62.246299743652344,0.18747973442077637
14,NORMAL12,AMD9,"(496, 512)",62.2651252746582,0.28127026557922363
16,NORMAL12,NORMAL10,"(496, 512)",62.28852844238281,0.2968757152557373
24,NORMAL12,NORMAL6,"(496, 512)",62.29123306274414,0.3147435188293457
7,NORMAL12,AMD2,"(496, 512)",62.313018798828125,0.18752837181091309
19,NORMAL12,NORMAL15,"(496, 512)",62.313594818115234,0.28377461433410645
4,NORMAL12,AMD13,"(496, 512)",62.33352279663086,0.1718733310699463
23,NORMAL12,NORMAL5,"(496, 512)",62.33700942993164,0.29689693450927734
15,NORMAL12,NORMAL1,"(496, 512)",62.34446334838867,0.28583431243896484
13,NORMAL12,AMD8,"(496, 512)",62.34794616699219,0.17411518096923828
8,NORMAL12,AMD3,"(496, 512)",62.35505294799805,0.20770788192749023
21,NORMAL12,NORMAL3,"(496, 512)",62.35721206665039,0.29910874366760254
5,NORMAL12,AMD14,"(496, 512)",62.36317825317383,0.29923510551452637
20,NORMAL12,NORMAL2,"(496, 512)",62.40684509277344,0.3124732971191406
25,NORMAL12,NORMAL7,"(496, 512)",62.41761779785156,0.3281240463256836
18,NORMAL12,NORMAL14,"(496, 512)",62.420257568359375,0.2812058925628662
22,NORMAL12,NORMAL4,"(496, 512)",62.424659729003906,0.300548791885376
27,NORMAL12,NORMAL9,"(496, 512)",62.42919921875,0.31247448921203613
3,NORMAL12,AMD12,"(496, 512)",62.44131088256836,0.1738591194152832
17,NORMAL12,NORMAL13,"(496, 512)",62.44624710083008,0.28334951400756836
12,NORMAL12,AMD7,"(496, 512)",62.44810485839844,0.28122830390930176
26,NORMAL12,NORMAL8,"(496, 512)",62.45668411254883,0.29908180236816406
6,NORMAL12,AMD15,"(496, 512)",62.5403938293457,0.2031252384185791
11,NORMAL12,AMD6,"(496, 512)",62.547725677490234,0.18989229202270508
10,NORMAL12,AMD5,"(496, 512)",62.585289001464844,0.17189836502075195
9,NORMAL12,AMD4,"(496, 512)",62.66889572143555,0.1718747615814209
