,query1,query2,size,siamese_distance
0,NORMAL4,AMD1,"(496, 512)",62.21461868286133
23,NORMAL4,NORMAL5,"(496, 512)",62.28961944580078
4,NORMAL4,AMD13,"(496, 512)",62.31691360473633
26,NORMAL4,NORMAL8,"(496, 512)",62.35801696777344
16,NORMAL4,NORMAL10,"(496, 512)",62.3740119934082
5,NORMAL4,AMD14,"(496, 512)",62.37803649902344
14,NORMAL4,AMD9,"(496, 512)",62.401580810546875
27,NORMAL4,NORMAL9,"(496, 512)",62.418975830078125
20,NORMAL4,NORMAL15,"(496, 512)",62.4201774597168
7,NORMAL4,AMD2,"(496, 512)",62.42335510253906
17,NORMAL4,NORMAL12,"(496, 512)",62.424659729003906
1,NORMAL4,AMD10,"(496, 512)",62.42485427856445
8,NORMAL4,AMD3,"(496, 512)",62.43534851074219
2,NORMAL4,AMD11,"(496, 512)",62.443241119384766
22,NORMAL4,NORMAL3,"(496, 512)",62.44474792480469
11,NORMAL4,AMD6,"(496, 512)",62.44538116455078
3,NORMAL4,AMD12,"(496, 512)",62.45157241821289
25,NORMAL4,NORMAL7,"(496, 512)",62.457881927490234
13,NORMAL4,AMD8,"(496, 512)",62.474308013916016
21,NORMAL4,NORMAL2,"(496, 512)",62.490806579589844
24,NORMAL4,NORMAL6,"(496, 512)",62.493873596191406
15,NORMAL4,NORMAL1,"(496, 512)",62.49654769897461
19,NORMAL4,NORMAL14,"(496, 512)",62.497764587402344
18,NORMAL4,NORMAL13,"(496, 512)",62.4979133605957
10,NORMAL4,AMD5,"(496, 512)",62.5057258605957
9,NORMAL4,AMD4,"(496, 512)",62.544769287109375
12,NORMAL4,AMD7,"(496, 512)",62.57575607299805
6,NORMAL4,AMD15,"(496, 512)",62.6069450378418
