,query1,query2,size,siamese_distance,time
2,AMD5,AMD11,"(496, 512)",62.526126861572266,0.18747806549072266
8,AMD5,AMD3,"(496, 512)",62.55855178833008,0.19208765029907227
9,AMD5,AMD4,"(496, 512)",62.58103942871094,0.1719050407409668
22,AMD5,NORMAL4,"(496, 512)",62.60675811767578,0.2991971969604492
4,AMD5,AMD13,"(496, 512)",62.61145782470703,0.15629172325134277
12,AMD5,AMD8,"(496, 512)",62.64382553100586,0.1718742847442627
10,AMD5,AMD6,"(496, 512)",62.6541633605957,0.1718738079071045
5,AMD5,AMD14,"(496, 512)",62.659969329833984,0.29908227920532227
17,AMD5,NORMAL13,"(496, 512)",62.670623779296875,0.30150318145751953
15,AMD5,NORMAL10,"(496, 512)",62.69582748413086,0.2992281913757324
26,AMD5,NORMAL8,"(496, 512)",62.69682312011719,0.3125009536743164
7,AMD5,AMD2,"(496, 512)",62.707313537597656,0.2031242847442627
16,AMD5,NORMAL12,"(496, 512)",62.70857620239258,0.2968463897705078
19,AMD5,NORMAL15,"(496, 512)",62.71214294433594,0.3281269073486328
14,AMD5,NORMAL1,"(496, 512)",62.720951080322266,0.2968463897705078
20,AMD5,NORMAL2,"(496, 512)",62.73672103881836,0.29922986030578613
13,AMD5,AMD9,"(496, 512)",62.739376068115234,0.2835259437561035
21,AMD5,NORMAL3,"(496, 512)",62.739524841308594,0.2968745231628418
27,AMD5,NORMAL9,"(496, 512)",62.74384689331055,0.2991480827331543
3,AMD5,AMD12,"(496, 512)",62.74441909790039,0.17437505722045898
24,AMD5,NORMAL6,"(496, 512)",62.75468826293945,0.3012223243713379
18,AMD5,NORMAL14,"(496, 512)",62.76088333129883,0.29886960983276367
25,AMD5,NORMAL7,"(496, 512)",62.76813507080078,0.2993476390838623
11,AMD5,AMD7,"(496, 512)",62.77572250366211,0.28351259231567383
23,AMD5,NORMAL5,"(496, 512)",62.78474426269531,0.2968907356262207
1,AMD5,AMD10,"(496, 512)",62.78556823730469,0.2969048023223877
0,AMD5,AMD1,"(496, 512)",62.83076477050781,0.20517206192016602
6,AMD5,AMD15,"(496, 512)",62.9437141418457,0.187469482421875
