,query1,query2,size,siamese_distance,average_image_time_query1,average_image_time_query2,patch_retrieval_time,image_comparison_time,total_time
13,AMD14,AMD9,"(496, 512)",62.08167266845703,0.20099854469299316,0.20201587677001953,0.0009987354278564453,0.11897420883178711,0.3219888210296631
21,AMD14,NORMAL3,"(496, 512)",62.181373596191406,0.20099854469299316,0.20656824111938477,0.0010001659393310547,0.11900115013122559,0.3265695571899414
19,AMD14,NORMAL15,"(496, 512)",62.19973373413086,0.20099854469299316,0.2100229263305664,0.0,0.11996865272521973,0.32999157905578613
15,AMD14,NORMAL10,"(496, 512)",62.25696563720703,0.20099854469299316,0.2060399055480957,0.0009694099426269531,0.11900830268859863,0.3260176181793213
24,AMD14,NORMAL6,"(496, 512)",62.25841522216797,0.20099854469299316,0.20499086380004883,0.0009996891021728516,0.12000155448913574,0.3259921073913574
25,AMD14,NORMAL7,"(496, 512)",62.26025390625,0.20099854469299316,0.2089676856994629,0.0010001659393310547,0.11802148818969727,0.3279893398284912
14,AMD14,NORMAL1,"(496, 512)",62.268035888671875,0.20099854469299316,0.20601844787597656,0.00101470947265625,0.11899161338806152,0.32602477073669434
16,AMD14,NORMAL12,"(496, 512)",62.2724494934082,0.20099854469299316,0.20801520347595215,0.0009989738464355469,0.11897659301757812,0.3279907703399658
12,AMD14,AMD8,"(496, 512)",62.27665710449219,0.20099854469299316,0.08000540733337402,0.0010232925415039062,0.12001824378967285,0.20104694366455078
26,AMD14,NORMAL8,"(496, 512)",62.345882415771484,0.20099854469299316,0.21297812461853027,0.0,0.11700177192687988,0.32997989654541016
20,AMD14,NORMAL2,"(496, 512)",62.37342834472656,0.20099854469299316,0.21003031730651855,0.0,0.11897063255310059,0.32900094985961914
4,AMD14,AMD13,"(496, 512)",62.374454498291016,0.20099854469299316,0.08001923561096191,0.0010013580322265625,0.11796784400939941,0.1989884376525879
8,AMD14,AMD4,"(496, 512)",62.388790130615234,0.20099854469299316,0.0810232162475586,0.0009999275207519531,0.11799049377441406,0.2000136375427246
23,AMD14,NORMAL5,"(496, 512)",62.4317626953125,0.20099854469299316,0.21002483367919922,0.0010001659393310547,0.11797690391540527,0.32900190353393555
18,AMD14,NORMAL14,"(496, 512)",62.43950653076172,0.20099854469299316,0.2060260772705078,0.001001119613647461,0.11997175216674805,0.3269989490509033
10,AMD14,AMD6,"(496, 512)",62.44021987915039,0.20099854469299316,0.07999873161315918,0.0,0.1190035343170166,0.19900226593017578
9,AMD14,AMD5,"(496, 512)",62.44890594482422,0.20099854469299316,0.07800078392028809,0.0009701251983642578,0.11999940872192383,0.19997048377990723
5,AMD14,AMD15,"(496, 512)",62.4863395690918,0.20099854469299316,0.1070256233215332,0.0009996891021728516,0.11848044395446777,0.22650575637817383
17,AMD14,NORMAL13,"(496, 512)",62.49473571777344,0.20099854469299316,0.2070307731628418,0.0009999275207519531,0.11897945404052734,0.3270101547241211
27,AMD14,NORMAL9,"(496, 512)",62.51531982421875,0.20099854469299316,0.21303248405456543,0.0009999275207519531,0.11996793746948242,0.3340003490447998
0,AMD14,AMD1,"(496, 512)",62.528831481933594,0.20099854469299316,0.10599350929260254,0.00099945068359375,0.12097668647766113,0.22796964645385742
3,AMD14,AMD12,"(496, 512)",62.53599166870117,0.20099854469299316,0.08003067970275879,0.0009992122650146484,0.11998438835144043,0.20101428031921387
22,AMD14,NORMAL4,"(496, 512)",62.54457092285156,0.20099854469299316,0.20497703552246094,0.0009996891021728516,0.11800742149353027,0.32398414611816406
6,AMD14,AMD2,"(496, 512)",62.63896179199219,0.20099854469299316,0.11502861976623535,0.001001596450805664,0.11996722221374512,0.23599743843078613
2,AMD14,AMD11,"(496, 512)",62.726261138916016,0.20099854469299316,0.07902956008911133,0.0010008811950683594,0.11796927452087402,0.1979997158050537
11,AMD14,AMD7,"(496, 512)",62.83916091918945,0.20099854469299316,0.20102858543395996,0.0010008811950683594,0.11796951293945312,0.31999897956848145
7,AMD14,AMD3,"(496, 512)",63.02822494506836,0.20099854469299316,0.09897017478942871,0.0010001659393310547,0.11899995803833008,0.21897029876708984
1,AMD14,AMD10,"(496, 512)",63.16680908203125,0.20099854469299316,0.20502352714538574,0.0009999275207519531,0.11799931526184082,0.3240227699279785
