,query1,query2,size,siamese_distance
12,AMD2,AMD8,"(496, 512)",59.522125244140625
19,AMD2,NORMAL15,"(496, 512)",59.57040023803711
16,AMD2,NORMAL12,"(496, 512)",59.5763053894043
14,AMD2,NORMAL1,"(496, 512)",59.69916915893555
21,AMD2,NORMAL3,"(496, 512)",59.70140075683594
23,AMD2,NORMAL5,"(496, 512)",59.726680755615234
22,AMD2,NORMAL4,"(496, 512)",59.73698043823242
26,AMD2,NORMAL8,"(496, 512)",59.738712310791016
24,AMD2,NORMAL6,"(496, 512)",59.75373458862305
4,AMD2,AMD13,"(496, 512)",59.76008987426758
9,AMD2,AMD5,"(496, 512)",59.765743255615234
17,AMD2,NORMAL13,"(496, 512)",59.7917594909668
13,AMD2,AMD9,"(496, 512)",59.80607986450195
27,AMD2,NORMAL9,"(496, 512)",59.881797790527344
25,AMD2,NORMAL7,"(496, 512)",59.88961410522461
18,AMD2,NORMAL14,"(496, 512)",59.90851593017578
15,AMD2,NORMAL10,"(496, 512)",59.931793212890625
5,AMD2,AMD14,"(496, 512)",59.943687438964844
10,AMD2,AMD6,"(496, 512)",60.000308990478516
20,AMD2,NORMAL2,"(496, 512)",60.05278396606445
7,AMD2,AMD3,"(496, 512)",60.06275177001953
8,AMD2,AMD4,"(496, 512)",60.125404357910156
3,AMD2,AMD12,"(496, 512)",60.514644622802734
6,AMD2,AMD15,"(496, 512)",60.627479553222656
2,AMD2,AMD11,"(496, 512)",60.65407943725586
1,AMD2,AMD10,"(496, 512)",60.69573974609375
11,AMD2,AMD7,"(496, 512)",60.697940826416016
0,AMD2,AMD1,"(496, 512)",60.75551986694336
