,query image,k,reciprocal rank for k = 3,average precision for k = 3,reciprocal rank for k = 5,average precision for k = 5,reciprocal rank for k = 7,average precision for k = 7
0,AMD1,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.42857142857142855
1,AMD10,"3, 5, 7",0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
2,AMD11,"3, 5, 7",1.0,0.3333333333333333,1.0,0.2,1.0,0.2857142857142857
3,AMD12,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714
4,AMD13,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0
5,AMD14,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0
6,AMD15,"3, 5, 7",0.5,0.6666666666666666,0.5,0.4,0.5,0.42857142857142855
7,AMD2,"3, 5, 7",1.0,0.3333333333333333,1.0,0.2,1.0,0.14285714285714285
8,AMD3,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.14285714285714285
9,AMD4,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571
10,AMD5,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0
11,AMD6,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571
12,AMD7,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.2857142857142857
13,AMD8,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0
14,AMD9,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0
15,NORMAL1,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0
16,NORMAL10,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0
17,NORMAL12,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0
18,NORMAL13,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0
19,NORMAL14,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0
20,NORMAL15,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0
21,NORMAL2,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0
22,NORMAL3,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0
23,NORMAL4,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0
24,NORMAL5,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0
25,NORMAL6,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0
26,NORMAL7,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0
27,NORMAL8,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0
28,NORMAL9,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0
29,Average MAP and MRR,"3, 5, 7",0.43103448275862066,0.3333333333333333,0.4396551724137931,0.3241379310344828,0.4445812807881773,0.31527093596059114
