,query image,k,reciprocal rank for k = 3,average precision for k = 3,reciprocal rank for k = 5,average precision for k = 5,reciprocal rank for k = 7,average precision for k = 7,time in seconds
0,AMD1,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571,8.145622730255127
1,AMD10,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.182692050933838
2,AMD11,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.120099544525146
3,AMD12,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.089069843292236
4,AMD13,"3, 5, 7",0.0,0.0,0.2,0.2,0.2,0.14285714285714285,8.106582880020142
5,AMD14,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,8.066052436828613
6,AMD15,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.8571428571428571,8.059084177017212
7,AMD2,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.009000778198242
8,AMD3,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.18505048751831
9,AMD4,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.7142857142857143,8.071644067764282
10,AMD5,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,8.022079944610596
11,AMD6,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.42857142857142855,8.12250804901123
12,AMD7,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.098608255386353
13,AMD8,"3, 5, 7",1.0,0.3333333333333333,1.0,0.2,1.0,0.14285714285714285,8.046142101287842
14,AMD9,"3, 5, 7",0.5,0.3333333333333333,0.5,0.2,0.5,0.2857142857142857,8.155991554260254
15,NORMAL1,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.8571428571428571,8.205637693405151
16,NORMAL10,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.8571428571428571,8.101060628890991
17,NORMAL12,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.7142857142857143,8.021586418151855
18,NORMAL13,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.225590467453003
19,NORMAL14,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.10256576538086
20,NORMAL15,"3, 5, 7",0.5,0.6666666666666666,0.5,0.6,0.5,0.5714285714285714,8.005120038986206
21,NORMAL2,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.8571428571428571,8.170177221298218
22,NORMAL3,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.7142857142857143,8.063118934631348
23,NORMAL4,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.7142857142857143,8.053475618362427
24,NORMAL5,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.8571428571428571,8.18110990524292
25,NORMAL6,"3, 5, 7",1.0,0.3333333333333333,1.0,0.6,1.0,0.7142857142857143,8.145000219345093
26,NORMAL7,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.8571428571428571,8.316567659378052
27,NORMAL8,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.42857142857142855,9.07248067855835
28,NORMAL9,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.355995178222656
29,Average MAP and MRR,"3, 5, 7",0.9310344827586207,0.8045977011494255,0.9379310344827586,0.7724137931034486,0.9379310344827586,0.7586206896551724,236.49971532821655
