,query image,k,reciprocal rank for k = 3,average precision for k = 3,reciprocal rank for k = 5,average precision for k = 5,reciprocal rank for k = 7,average precision for k = 7,time in seconds
0,DME1,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,10.337934732437134
1,DME10,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.7142857142857143,8.340095281600952
2,DME11,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.5714285714285714,8.328999280929565
3,DME12,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,8.201522588729858
4,DME13,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,8.090271949768066
5,DME14,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.5714285714285714,8.05884599685669
6,DME15,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,8.011878252029419
7,DME2,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571,7.980666637420654
8,DME3,"3, 5, 7",0.5,0.6666666666666666,0.5,0.8,0.5,0.8571428571428571,8.058908700942993
9,DME4,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.2857142857142857,8.045238018035889
10,DME5,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.01206350326538
11,DME6,"3, 5, 7",1.0,0.3333333333333333,1.0,0.6,1.0,0.5714285714285714,8.027493953704834
12,DME7,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571,8.027656316757202
13,DME8,"3, 5, 7",0.5,0.3333333333333333,0.5,0.2,0.5,0.2857142857142857,7.98052978515625
14,DME9,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714,8.0432767868042
15,NORMAL1,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.8571428571428571,7.96509313583374
16,NORMAL10,"3, 5, 7",0.5,0.3333333333333333,0.5,0.4,0.5,0.42857142857142855,8.027473211288452
17,NORMAL12,"3, 5, 7",0.0,0.0,0.25,0.4,0.25,0.42857142857142855,8.02949595451355
18,NORMAL13,"3, 5, 7",1.0,0.6666666666666666,1.0,0.4,1.0,0.42857142857142855,8.106013298034668
19,NORMAL14,"3, 5, 7",0.5,0.6666666666666666,0.5,0.8,0.5,0.8571428571428571,8.074408054351807
20,NORMAL15,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.7142857142857143,8.074379682540894
21,NORMAL2,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,7.949456214904785
22,NORMAL3,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.7142857142857143,8.20151686668396
23,NORMAL4,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.14285714285714285,7.9340500831604
24,NORMAL5,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.7142857142857143,8.027477264404297
25,NORMAL6,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.8571428571428571,7.980655908584595
26,NORMAL7,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714,7.933856964111328
27,NORMAL8,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,8.025036811828613
28,NORMAL9,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.2857142857142857,8.029970169067383
29,Average MAP and MRR,"3, 5, 7",0.7816091954022988,0.6551724137931035,0.7988505747126436,0.6137931034482759,0.7988505747126436,0.6108374384236452,235.90426540374756
