,query1,query2,size,siamese_distance
8,DME8,DME3,"(496, 512)",59.75697708129883
2,DME8,DME11,"(496, 512)",60.19661331176758
15,DME8,NORMAL10,"(496, 512)",60.2725715637207
16,DME8,NORMAL12,"(496, 512)",60.27783966064453
1,DME8,DME10,"(496, 512)",60.27946472167969
20,DME8,NORMAL2,"(496, 512)",60.431976318359375
24,DME8,NORMAL6,"(496, 512)",60.44467544555664
5,DME8,DME14,"(496, 512)",60.53768539428711
26,DME8,NORMAL8,"(496, 512)",60.57360076904297
9,DME8,DME4,"(496, 512)",60.59327697753906
19,DME8,NORMAL15,"(496, 512)",60.60405731201172
10,DME8,DME5,"(496, 512)",60.6309814453125
3,DME8,DME12,"(496, 512)",60.64456558227539
21,DME8,NORMAL3,"(496, 512)",60.66471481323242
12,DME8,DME7,"(496, 512)",60.66728591918945
14,DME8,NORMAL1,"(496, 512)",60.67536544799805
13,DME8,DME9,"(496, 512)",60.67708206176758
22,DME8,NORMAL4,"(496, 512)",60.724334716796875
11,DME8,DME6,"(496, 512)",60.72593688964844
7,DME8,DME2,"(496, 512)",60.75519943237305
17,DME8,NORMAL13,"(496, 512)",60.77823257446289
27,DME8,NORMAL9,"(496, 512)",60.789093017578125
6,DME8,DME15,"(496, 512)",60.809852600097656
25,DME8,NORMAL7,"(496, 512)",60.87626647949219
4,DME8,DME13,"(496, 512)",60.877601623535156
18,DME8,NORMAL14,"(496, 512)",60.99946212768555
0,DME8,DME1,"(496, 512)",61.284400939941406
23,DME8,NORMAL5,"(496, 512)",61.41232681274414
