,query1,query2,size,siamese_distance
8,NORMAL3,DME3,"(496, 512)",61.139122009277344
5,NORMAL3,DME14,"(496, 512)",61.38839340209961
2,NORMAL3,DME11,"(496, 512)",61.42881393432617
18,NORMAL3,NORMAL13,"(496, 512)",61.45133590698242
22,NORMAL3,NORMAL4,"(496, 512)",61.501258850097656
1,NORMAL3,DME10,"(496, 512)",61.52168273925781
19,NORMAL3,NORMAL14,"(496, 512)",61.52617645263672
27,NORMAL3,NORMAL9,"(496, 512)",61.54106521606445
21,NORMAL3,NORMAL2,"(496, 512)",61.547119140625
16,NORMAL3,NORMAL10,"(496, 512)",61.55363082885742
6,NORMAL3,DME15,"(496, 512)",61.571868896484375
26,NORMAL3,NORMAL8,"(496, 512)",61.584041595458984
11,NORMAL3,DME6,"(496, 512)",61.588172912597656
14,NORMAL3,DME9,"(496, 512)",61.62678146362305
3,NORMAL3,DME12,"(496, 512)",61.629066467285156
4,NORMAL3,DME13,"(496, 512)",61.63589859008789
12,NORMAL3,DME7,"(496, 512)",61.64456558227539
0,NORMAL3,DME1,"(496, 512)",61.661109924316406
13,NORMAL3,DME8,"(496, 512)",61.675724029541016
10,NORMAL3,DME5,"(496, 512)",61.67890548706055
23,NORMAL3,NORMAL5,"(496, 512)",61.68830871582031
7,NORMAL3,DME2,"(496, 512)",61.71600341796875
17,NORMAL3,NORMAL12,"(496, 512)",61.731021881103516
9,NORMAL3,DME4,"(496, 512)",61.75726318359375
25,NORMAL3,NORMAL7,"(496, 512)",61.878231048583984
24,NORMAL3,NORMAL6,"(496, 512)",61.92367935180664
20,NORMAL3,NORMAL15,"(496, 512)",61.92869186401367
15,NORMAL3,NORMAL1,"(496, 512)",61.98903274536133
