,query1,query2,size,siamese_distance,time
26,DME5,NORMAL8,"(496, 512)",62.28741455078125,0.31253790855407715
15,DME5,NORMAL10,"(496, 512)",62.3509635925293,0.2981278896331787
3,DME5,DME12,"(496, 512)",62.379302978515625,0.24361157417297363
11,DME5,DME7,"(496, 512)",62.39021682739258,0.24221134185791016
24,DME5,NORMAL6,"(496, 512)",62.39072036743164,0.31501340866088867
6,DME5,DME15,"(496, 512)",62.42488098144531,0.23746705055236816
22,DME5,NORMAL4,"(496, 512)",62.42915344238281,0.30141425132751465
16,DME5,NORMAL12,"(496, 512)",62.43780517578125,0.32539963722229004
27,DME5,NORMAL9,"(496, 512)",62.44101333618164,0.3058302402496338
17,DME5,NORMAL13,"(496, 512)",62.44621276855469,0.3166482448577881
21,DME5,NORMAL3,"(496, 512)",62.451175689697266,0.3193483352661133
19,DME5,NORMAL15,"(496, 512)",62.45945739746094,0.31477928161621094
10,DME5,DME6,"(496, 512)",62.462867736816406,0.3183729648590088
14,DME5,NORMAL1,"(496, 512)",62.47369384765625,0.3138136863708496
18,DME5,NORMAL14,"(496, 512)",62.49834060668945,0.3154938220977783
9,DME5,DME4,"(496, 512)",62.529850006103516,0.3037135601043701
20,DME5,NORMAL2,"(496, 512)",62.53533935546875,0.3139047622680664
0,DME5,DME1,"(496, 512)",62.55894088745117,0.3125011920928955
25,DME5,NORMAL7,"(496, 512)",62.603668212890625,0.30361318588256836
4,DME5,DME13,"(496, 512)",62.60527801513672,0.2500016689300537
5,DME5,DME14,"(496, 512)",62.615474700927734,0.26634669303894043
23,DME5,NORMAL5,"(496, 512)",62.64288330078125,0.3211202621459961
7,DME5,DME2,"(496, 512)",62.645992279052734,0.3134603500366211
12,DME5,DME8,"(496, 512)",62.65121841430664,0.2610018253326416
13,DME5,DME9,"(496, 512)",62.74702835083008,0.2437422275543213
8,DME5,DME3,"(496, 512)",62.82721710205078,0.2968630790710449
1,DME5,DME10,"(496, 512)",62.954010009765625,0.18822073936462402
2,DME5,DME11,"(496, 512)",62.976932525634766,0.25412559509277344
