,query1,query2,size,siamese_distance,time
18,NORMAL9,NORMAL13,"(496, 512)",62.39651870727539,0.29688334465026855
19,NORMAL9,NORMAL14,"(496, 512)",62.4826545715332,0.30625200271606445
23,NORMAL9,NORMAL4,"(496, 512)",62.49338150024414,0.2968873977661133
10,NORMAL9,DME5,"(496, 512)",62.57810592651367,0.30524158477783203
16,NORMAL9,NORMAL10,"(496, 512)",62.57832717895508,0.29686832427978516
15,NORMAL9,NORMAL1,"(496, 512)",62.58800506591797,0.30874037742614746
22,NORMAL9,NORMAL3,"(496, 512)",62.60478973388672,0.3007392883300781
6,NORMAL9,DME15,"(496, 512)",62.62110137939453,0.23779869079589844
12,NORMAL9,DME7,"(496, 512)",62.62785720825195,0.25252223014831543
11,NORMAL9,DME6,"(496, 512)",62.63795471191406,0.3157467842102051
26,NORMAL9,NORMAL7,"(496, 512)",62.64865493774414,0.2974255084991455
13,NORMAL9,DME8,"(496, 512)",62.652347564697266,0.24942255020141602
17,NORMAL9,NORMAL12,"(496, 512)",62.65711212158203,0.30374598503112793
3,NORMAL9,DME12,"(496, 512)",62.660831451416016,0.24586129188537598
0,NORMAL9,DME1,"(496, 512)",62.66453170776367,0.3084743022918701
21,NORMAL9,NORMAL2,"(496, 512)",62.67671585083008,0.2968759536743164
9,NORMAL9,DME4,"(496, 512)",62.68149185180664,0.3126792907714844
27,NORMAL9,NORMAL8,"(496, 512)",62.6842155456543,0.2958371639251709
25,NORMAL9,NORMAL6,"(496, 512)",62.68669509887695,0.3014028072357178
24,NORMAL9,NORMAL5,"(496, 512)",62.701534271240234,0.31333088874816895
4,NORMAL9,DME13,"(496, 512)",62.7093391418457,0.24172639846801758
14,NORMAL9,DME9,"(496, 512)",62.78274917602539,0.27312517166137695
20,NORMAL9,NORMAL15,"(496, 512)",62.799015045166016,0.30330419540405273
8,NORMAL9,DME3,"(496, 512)",62.83066177368164,0.3345029354095459
7,NORMAL9,DME2,"(496, 512)",62.86112976074219,0.2879304885864258
2,NORMAL9,DME11,"(496, 512)",62.90597152709961,0.25930118560791016
1,NORMAL9,DME10,"(496, 512)",62.91755294799805,0.16675448417663574
5,NORMAL9,DME14,"(496, 512)",62.958248138427734,0.25143861770629883
