,query1,query2,size,siamese_distance
2,DME5,DME3,"(496, 512)",57.93623733520508
0,DME5,DME1,"(496, 512)",58.709171295166016
10,DME5,NORMAL15,"(496, 512)",58.91936492919922
14,DME5,NORMAL5,"(496, 512)",58.98993682861328
4,DME5,DME6,"(496, 512)",59.28636932373047
6,DME5,NORMAL10,"(496, 512)",59.4068717956543
1,DME5,DME2,"(496, 512)",59.68495178222656
11,DME5,NORMAL2,"(496, 512)",59.7679557800293
12,DME5,NORMAL3,"(496, 512)",59.79902267456055
7,DME5,NORMAL12,"(496, 512)",59.832454681396484
16,DME5,NORMAL7,"(496, 512)",59.92488098144531
3,DME5,DME4,"(496, 512)",59.95625305175781
13,DME5,NORMAL4,"(496, 512)",59.98552322387695
15,DME5,NORMAL6,"(496, 512)",60.033843994140625
5,DME5,NORMAL1,"(496, 512)",60.070640563964844
18,DME5,NORMAL9,"(496, 512)",60.08120346069336
9,DME5,NORMAL14,"(496, 512)",60.11766815185547
8,DME5,NORMAL13,"(496, 512)",60.14676284790039
17,DME5,NORMAL8,"(496, 512)",60.23089599609375
