,query1,query2,size,siamese_distance
2,NORMAL15,DME3,"(496, 512)",56.674346923828125
0,NORMAL15,DME1,"(496, 512)",57.344242095947266
14,NORMAL15,NORMAL5,"(496, 512)",57.64495086669922
7,NORMAL15,NORMAL10,"(496, 512)",58.06889343261719
1,NORMAL15,DME2,"(496, 512)",58.10599136352539
13,NORMAL15,NORMAL4,"(496, 512)",58.42049026489258
17,NORMAL15,NORMAL8,"(496, 512)",58.55632781982422
9,NORMAL15,NORMAL13,"(496, 512)",58.57515335083008
10,NORMAL15,NORMAL14,"(496, 512)",58.849403381347656
4,NORMAL15,DME5,"(496, 512)",58.91936492919922
15,NORMAL15,NORMAL6,"(496, 512)",59.04170608520508
16,NORMAL15,NORMAL7,"(496, 512)",59.11061096191406
18,NORMAL15,NORMAL9,"(496, 512)",59.19609451293945
11,NORMAL15,NORMAL2,"(496, 512)",59.262596130371094
12,NORMAL15,NORMAL3,"(496, 512)",59.374481201171875
6,NORMAL15,NORMAL1,"(496, 512)",59.51166534423828
3,NORMAL15,DME4,"(496, 512)",59.55352020263672
8,NORMAL15,NORMAL12,"(496, 512)",59.56498336791992
5,NORMAL15,DME6,"(496, 512)",59.810882568359375
