,query1,query2,size,siamese_distance
17,AMD13,NORMAL12,"(496, 512)",62.13630294799805
11,AMD13,DME4,"(496, 512)",62.17963409423828
28,AMD13,NORMAL9,"(496, 512)",62.24573516845703
21,AMD13,NORMAL2,"(496, 512)",62.285911560058594
4,AMD13,AMD4,"(496, 512)",62.29291915893555
12,AMD13,DME5,"(496, 512)",62.31314468383789
20,AMD13,NORMAL15,"(496, 512)",62.508060455322266
5,AMD13,AMD5,"(496, 512)",62.57859420776367
14,AMD13,NORMAL1,"(496, 512)",62.64462661743164
6,AMD13,AMD6,"(496, 512)",62.67842483520508
9,AMD13,DME2,"(496, 512)",62.786808013916016
2,AMD13,AMD12,"(496, 512)",62.84630584716797
13,AMD13,DME6,"(496, 512)",62.84855270385742
7,AMD13,AMD8,"(496, 512)",62.879737854003906
27,AMD13,NORMAL8,"(496, 512)",62.89119338989258
15,AMD13,NORMAL10,"(496, 512)",62.91061019897461
3,AMD13,AMD2,"(496, 512)",62.96620178222656
26,AMD13,NORMAL7,"(496, 512)",63.012638092041016
16,AMD13,NORMAL11,"(496, 512)",63.04580307006836
23,AMD13,NORMAL4,"(496, 512)",63.05097961425781
19,AMD13,NORMAL14,"(496, 512)",63.10567855834961
25,AMD13,NORMAL6,"(496, 512)",63.11900329589844
8,AMD13,DME1,"(496, 512)",63.14917755126953
18,AMD13,NORMAL13,"(496, 512)",63.279808044433594
24,AMD13,NORMAL5,"(496, 512)",63.291141510009766
0,AMD13,AMD1,"(496, 512)",63.414981842041016
22,AMD13,NORMAL3,"(496, 512)",63.51057815551758
10,AMD13,DME3,"(496, 512)",63.596736907958984
1,AMD13,AMD11,"(496, 512)",63.7044677734375
