,query1,query2,size,siamese_distance
1,DME3,AMD11,"(496, 512)",62.60444259643555
16,DME3,NORMAL11,"(496, 512)",62.992454528808594
27,DME3,NORMAL8,"(496, 512)",63.033714294433594
24,DME3,NORMAL5,"(496, 512)",63.19549560546875
0,DME3,AMD1,"(496, 512)",63.26346206665039
15,DME3,NORMAL10,"(496, 512)",63.336891174316406
9,DME3,DME1,"(496, 512)",63.36488723754883
10,DME3,DME2,"(496, 512)",63.42886734008789
23,DME3,NORMAL4,"(496, 512)",63.45616149902344
21,DME3,NORMAL2,"(496, 512)",63.510372161865234
12,DME3,DME5,"(496, 512)",63.55040740966797
2,DME3,AMD12,"(496, 512)",63.553558349609375
5,DME3,AMD4,"(496, 512)",63.56892395019531
3,DME3,AMD13,"(496, 512)",63.596736907958984
4,DME3,AMD2,"(496, 512)",63.676387786865234
25,DME3,NORMAL6,"(496, 512)",63.714698791503906
17,DME3,NORMAL12,"(496, 512)",63.754032135009766
18,DME3,NORMAL13,"(496, 512)",63.79349899291992
11,DME3,DME4,"(496, 512)",63.82435607910156
22,DME3,NORMAL3,"(496, 512)",63.92225646972656
28,DME3,NORMAL9,"(496, 512)",63.92235565185547
26,DME3,NORMAL7,"(496, 512)",63.96037292480469
6,DME3,AMD5,"(496, 512)",63.96990203857422
14,DME3,NORMAL1,"(496, 512)",64.03118133544922
19,DME3,NORMAL14,"(496, 512)",64.10221862792969
7,DME3,AMD6,"(496, 512)",64.1475830078125
20,DME3,NORMAL15,"(496, 512)",64.39909362792969
8,DME3,AMD8,"(496, 512)",64.55133819580078
13,DME3,DME6,"(496, 512)",64.5606918334961
