,query1,query2,size,siamese_distance
19,NORMAL9,NORMAL13,"(496, 512)",62.19404602050781
4,NORMAL9,AMD2,"(496, 512)",62.23762893676758
3,NORMAL9,AMD13,"(496, 512)",62.24573516845703
20,NORMAL9,NORMAL14,"(496, 512)",62.302574157714844
27,NORMAL9,NORMAL7,"(496, 512)",62.48029708862305
22,NORMAL9,NORMAL2,"(496, 512)",62.48210525512695
26,NORMAL9,NORMAL6,"(496, 512)",62.510860443115234
13,NORMAL9,DME5,"(496, 512)",62.56140899658203
5,NORMAL9,AMD4,"(496, 512)",62.56774139404297
15,NORMAL9,NORMAL1,"(496, 512)",62.677833557128906
12,NORMAL9,DME4,"(496, 512)",62.722267150878906
10,NORMAL9,DME2,"(496, 512)",62.881046295166016
23,NORMAL9,NORMAL3,"(496, 512)",62.88758087158203
6,NORMAL9,AMD5,"(496, 512)",62.928810119628906
2,NORMAL9,AMD12,"(496, 512)",62.97268295288086
9,NORMAL9,DME1,"(496, 512)",62.9773063659668
7,NORMAL9,AMD6,"(496, 512)",63.07213592529297
18,NORMAL9,NORMAL12,"(496, 512)",63.090187072753906
24,NORMAL9,NORMAL4,"(496, 512)",63.095558166503906
28,NORMAL9,NORMAL8,"(496, 512)",63.12777328491211
14,NORMAL9,DME6,"(496, 512)",63.143516540527344
0,NORMAL9,AMD1,"(496, 512)",63.15060806274414
16,NORMAL9,NORMAL10,"(496, 512)",63.28693389892578
21,NORMAL9,NORMAL15,"(496, 512)",63.29683303833008
25,NORMAL9,NORMAL5,"(496, 512)",63.50276565551758
8,NORMAL9,AMD8,"(496, 512)",63.62559127807617
17,NORMAL9,NORMAL11,"(496, 512)",63.651832580566406
1,NORMAL9,AMD11,"(496, 512)",63.790855407714844
11,NORMAL9,DME3,"(496, 512)",63.92235565185547
