,query1,query2,size,siamese_distance
21,AMD5,NORMAL2,"(496, 512)",62.24013137817383
12,AMD5,DME5,"(496, 512)",62.514076232910156
3,AMD5,AMD13,"(496, 512)",62.57859420776367
11,AMD5,DME4,"(496, 512)",62.580596923828125
14,AMD5,NORMAL1,"(496, 512)",62.651790618896484
5,AMD5,AMD4,"(496, 512)",62.7569465637207
17,AMD5,NORMAL12,"(496, 512)",62.84900665283203
28,AMD5,NORMAL9,"(496, 512)",62.928810119628906
20,AMD5,NORMAL15,"(496, 512)",63.037872314453125
26,AMD5,NORMAL7,"(496, 512)",63.09640884399414
4,AMD5,AMD2,"(496, 512)",63.139869689941406
13,AMD5,DME6,"(496, 512)",63.158451080322266
6,AMD5,AMD6,"(496, 512)",63.22135543823242
25,AMD5,NORMAL6,"(496, 512)",63.24517059326172
7,AMD5,AMD8,"(496, 512)",63.33970260620117
27,AMD5,NORMAL8,"(496, 512)",63.35950469970703
18,AMD5,NORMAL13,"(496, 512)",63.394710540771484
19,AMD5,NORMAL14,"(496, 512)",63.397377014160156
15,AMD5,NORMAL10,"(496, 512)",63.423500061035156
22,AMD5,NORMAL3,"(496, 512)",63.44825744628906
9,AMD5,DME2,"(496, 512)",63.46980667114258
2,AMD5,AMD12,"(496, 512)",63.565792083740234
23,AMD5,NORMAL4,"(496, 512)",63.626708984375
8,AMD5,DME1,"(496, 512)",63.64635467529297
1,AMD5,AMD11,"(496, 512)",63.919334411621094
0,AMD5,AMD1,"(496, 512)",63.938438415527344
16,AMD5,NORMAL11,"(496, 512)",63.9610595703125
10,AMD5,DME3,"(496, 512)",63.96990203857422
24,AMD5,NORMAL5,"(496, 512)",63.98799514770508
