,query1,query2,size,siamese_distance
9,NORMAL5,DME1,"(496, 512)",62.219017028808594
0,NORMAL5,AMD1,"(496, 512)",62.59035110473633
17,NORMAL5,NORMAL11,"(496, 512)",62.7856559753418
1,NORMAL5,AMD11,"(496, 512)",62.813880920410156
27,NORMAL5,NORMAL8,"(496, 512)",62.99231719970703
2,NORMAL5,AMD12,"(496, 512)",63.041385650634766
10,NORMAL5,DME2,"(496, 512)",63.17174530029297
11,NORMAL5,DME3,"(496, 512)",63.19549560546875
24,NORMAL5,NORMAL4,"(496, 512)",63.23966979980469
3,NORMAL5,AMD13,"(496, 512)",63.291141510009766
5,NORMAL5,AMD4,"(496, 512)",63.35818862915039
22,NORMAL5,NORMAL2,"(496, 512)",63.42924118041992
26,NORMAL5,NORMAL7,"(496, 512)",63.44651794433594
19,NORMAL5,NORMAL13,"(496, 512)",63.4488525390625
20,NORMAL5,NORMAL14,"(496, 512)",63.45801544189453
28,NORMAL5,NORMAL9,"(496, 512)",63.50276565551758
25,NORMAL5,NORMAL6,"(496, 512)",63.50288009643555
13,NORMAL5,DME5,"(496, 512)",63.57524871826172
16,NORMAL5,NORMAL10,"(496, 512)",63.5963134765625
12,NORMAL5,DME4,"(496, 512)",63.62588119506836
23,NORMAL5,NORMAL3,"(496, 512)",63.648563385009766
18,NORMAL5,NORMAL12,"(496, 512)",63.71076583862305
4,NORMAL5,AMD2,"(496, 512)",63.73214340209961
7,NORMAL5,AMD6,"(496, 512)",63.795352935791016
15,NORMAL5,NORMAL1,"(496, 512)",63.84762191772461
6,NORMAL5,AMD5,"(496, 512)",63.98799514770508
21,NORMAL5,NORMAL15,"(496, 512)",64.05890655517578
14,NORMAL5,DME6,"(496, 512)",64.14744567871094
8,NORMAL5,AMD8,"(496, 512)",64.5165786743164
