,query1,query2,size,siamese_distance,time
36,AMD9,NORMAL3,"(496, 512)",62.02640151977539,0.29930996894836426
29,AMD9,NORMAL1,"(496, 512)",62.04619216918945,0.2835865020751953
5,AMD9,AMD14,"(496, 512)",62.0816764831543,0.2991342544555664
13,AMD9,AMD8,"(496, 512)",62.08244705200195,0.17189669609069824
39,AMD9,NORMAL6,"(496, 512)",62.08435821533203,0.2833530902862549
30,AMD9,NORMAL10,"(496, 512)",62.08626937866211,0.28576016426086426
40,AMD9,NORMAL7,"(496, 512)",62.094993591308594,0.2968482971191406
31,AMD9,NORMAL12,"(496, 512)",62.09914779663086,0.29685306549072266
34,AMD9,NORMAL15,"(496, 512)",62.104515075683594,0.2992243766784668
17,AMD9,DME12,"(496, 512)",62.12443923950195,0.23922395706176758
24,AMD9,DME5,"(496, 512)",62.1461296081543,0.2859983444213867
26,AMD9,DME7,"(496, 512)",62.15010070800781,0.23659634590148926
35,AMD9,NORMAL2,"(496, 512)",62.18156433105469,0.2968564033508301
4,AMD9,AMD13,"(496, 512)",62.19138717651367,0.17185425758361816
41,AMD9,NORMAL8,"(496, 512)",62.19715118408203,0.2993896007537842
33,AMD9,NORMAL14,"(496, 512)",62.245121002197266,0.2968752384185791
23,AMD9,DME4,"(496, 512)",62.27631378173828,0.2989673614501953
25,AMD9,DME6,"(496, 512)",62.2792854309082,0.2968761920928955
27,AMD9,DME8,"(496, 512)",62.30413818359375,0.25002241134643555
32,AMD9,NORMAL13,"(496, 512)",62.31100082397461,0.29915952682495117
20,AMD9,DME15,"(496, 512)",62.314815521240234,0.25
18,AMD9,DME13,"(496, 512)",62.317474365234375,0.2499995231628418
42,AMD9,NORMAL9,"(496, 512)",62.3365364074707,0.29689717292785645
21,AMD9,DME2,"(496, 512)",62.33776092529297,0.2990870475769043
14,AMD9,DME1,"(496, 512)",62.3399658203125,0.3145291805267334
38,AMD9,NORMAL5,"(496, 512)",62.361019134521484,0.2968757152557373
10,AMD9,AMD5,"(496, 512)",62.383487701416016,0.18958210945129395
9,AMD9,AMD4,"(496, 512)",62.41108703613281,0.17188048362731934
37,AMD9,NORMAL4,"(496, 512)",62.42797088623047,0.30119776725769043
11,AMD9,AMD6,"(496, 512)",62.45555877685547,0.1719043254852295
19,AMD9,DME14,"(496, 512)",62.477474212646484,0.23662090301513672
28,AMD9,DME9,"(496, 512)",62.48179244995117,0.24998044967651367
3,AMD9,AMD12,"(496, 512)",62.484832763671875,0.18752264976501465
6,AMD9,AMD15,"(496, 512)",62.494163513183594,0.20314478874206543
0,AMD9,AMD1,"(496, 512)",62.52348709106445,0.19272875785827637
7,AMD9,AMD2,"(496, 512)",62.630828857421875,0.19216108322143555
15,AMD9,DME10,"(496, 512)",62.66816711425781,0.17189693450927734
22,AMD9,DME3,"(496, 512)",62.72212219238281,0.3124997615814209
16,AMD9,DME11,"(496, 512)",62.73971176147461,0.2499992847442627
2,AMD9,AMD11,"(496, 512)",62.79438781738281,0.17435145378112793
12,AMD9,AMD7,"(496, 512)",62.867801666259766,0.2991600036621094
8,AMD9,AMD3,"(496, 512)",62.997520446777344,0.20310330390930176
1,AMD9,AMD10,"(496, 512)",63.223777770996094,0.2968575954437256
