,query1,query2,size,siamese_distance,time
8,DME4,AMD3,"(496, 512)",61.1506233215332,0.2187483310699463
1,DME4,AMD10,"(496, 512)",61.23841094970703,0.3125131130218506
2,DME4,AMD11,"(496, 512)",61.359336853027344,0.18748736381530762
23,DME4,DME3,"(496, 512)",61.44160461425781,0.32812929153442383
4,DME4,AMD13,"(496, 512)",61.50018310546875,0.18749761581420898
7,DME4,AMD2,"(496, 512)",61.507957458496094,0.21877598762512207
0,DME4,AMD1,"(496, 512)",61.61033630371094,0.2187485694885254
12,DME4,AMD7,"(496, 512)",61.646366119384766,0.2812495231628418
32,DME4,NORMAL13,"(496, 512)",61.64765930175781,0.328155517578125
30,DME4,NORMAL10,"(496, 512)",61.65236282348633,0.29689526557922363
33,DME4,NORMAL14,"(496, 512)",61.66346740722656,0.29686617851257324
9,DME4,AMD4,"(496, 512)",61.69570541381836,0.1874985694885254
35,DME4,NORMAL2,"(496, 512)",61.6983528137207,0.29689669609069824
20,DME4,DME14,"(496, 512)",61.70302963256836,0.2499990463256836
6,DME4,AMD15,"(496, 512)",61.706050872802734,0.2031240463256836
3,DME4,AMD12,"(496, 512)",61.70795822143555,0.2031259536743164
17,DME4,DME11,"(496, 512)",61.7110710144043,0.2500007152557373
42,DME4,NORMAL9,"(496, 512)",61.71592712402344,0.3437488079071045
13,DME4,AMD8,"(496, 512)",61.720420837402344,0.18752312660217285
37,DME4,NORMAL4,"(496, 512)",61.721797943115234,0.2968475818634033
16,DME4,DME10,"(496, 512)",61.73787307739258,0.18749618530273438
38,DME4,NORMAL5,"(496, 512)",61.743682861328125,0.2968738079071045
36,DME4,NORMAL3,"(496, 512)",61.757266998291016,0.31250619888305664
39,DME4,NORMAL6,"(496, 512)",61.76240158081055,0.2968745231628418
31,DME4,NORMAL12,"(496, 512)",61.76908874511719,0.29685425758361816
40,DME4,NORMAL7,"(496, 512)",61.782066345214844,0.296875
24,DME4,DME5,"(496, 512)",61.80203628540039,0.31247997283935547
18,DME4,DME12,"(496, 512)",61.803199768066406,0.2500016689300537
41,DME4,NORMAL8,"(496, 512)",61.81205368041992,0.2968769073486328
21,DME4,DME15,"(496, 512)",61.81260681152344,0.2343759536743164
25,DME4,DME6,"(496, 512)",61.819679260253906,0.3125302791595459
15,DME4,DME1,"(496, 512)",61.82183837890625,0.29689884185791016
28,DME4,DME9,"(496, 512)",61.82306671142578,0.29689741134643555
29,DME4,NORMAL1,"(496, 512)",61.8364372253418,0.31247806549072266
5,DME4,AMD14,"(496, 512)",61.83889389038086,0.3125007152557373
27,DME4,DME8,"(496, 512)",61.844547271728516,0.23437261581420898
10,DME4,AMD5,"(496, 512)",61.856868743896484,0.17185258865356445
19,DME4,DME13,"(496, 512)",61.868350982666016,0.2499980926513672
14,DME4,AMD9,"(496, 512)",61.8718376159668,0.28122973442077637
11,DME4,AMD6,"(496, 512)",61.880584716796875,0.1874995231628418
26,DME4,DME7,"(496, 512)",61.89800262451172,0.265594482421875
22,DME4,DME2,"(496, 512)",61.91984558105469,0.2968709468841553
34,DME4,NORMAL15,"(496, 512)",61.96780776977539,0.29685401916503906
