,query1,query2,size,siamese_distance,time
18,NORMAL4,DME12,"(496, 512)",62.478553771972656,0.2500143051147461
42,NORMAL4,NORMAL9,"(496, 512)",62.49338150024414,0.2968466281890869
26,NORMAL4,DME6,"(496, 512)",62.4978141784668,0.28126955032348633
21,NORMAL4,DME15,"(496, 512)",62.505149841308594,0.24997949600219727
25,NORMAL4,DME5,"(496, 512)",62.525917053222656,0.31247901916503906
41,NORMAL4,NORMAL8,"(496, 512)",62.53385925292969,0.29688119888305664
11,NORMAL4,AMD6,"(496, 512)",62.551666259765625,0.17184710502624512
33,NORMAL4,NORMAL13,"(496, 512)",62.55598831176758,0.29686856269836426
27,NORMAL4,DME7,"(496, 512)",62.57579040527344,0.26560521125793457
34,NORMAL4,NORMAL14,"(496, 512)",62.59456253051758,0.29685354232788086
31,NORMAL4,NORMAL10,"(496, 512)",62.609195709228516,0.2812206745147705
24,NORMAL4,DME4,"(496, 512)",62.61057662963867,0.2812354564666748
15,NORMAL4,DME1,"(496, 512)",62.62527084350586,0.28125
13,NORMAL4,AMD8,"(496, 512)",62.645687103271484,0.1875293254852295
10,NORMAL4,AMD5,"(496, 512)",62.65003967285156,0.18753433227539062
14,NORMAL4,AMD9,"(496, 512)",62.652122497558594,0.2968456745147705
32,NORMAL4,NORMAL12,"(496, 512)",62.65390396118164,0.2969038486480713
36,NORMAL4,NORMAL2,"(496, 512)",62.663578033447266,0.2968738079071045
40,NORMAL4,NORMAL7,"(496, 512)",62.668853759765625,0.29686808586120605
28,NORMAL4,DME8,"(496, 512)",62.670509338378906,0.2500038146972656
30,NORMAL4,NORMAL1,"(496, 512)",62.67621612548828,0.29690074920654297
9,NORMAL4,AMD4,"(496, 512)",62.678707122802734,0.1718738079071045
38,NORMAL4,NORMAL5,"(496, 512)",62.680206298828125,0.28126978874206543
35,NORMAL4,NORMAL15,"(496, 512)",62.68924331665039,0.29689741134643555
37,NORMAL4,NORMAL3,"(496, 512)",62.69184112548828,0.29685473442077637
4,NORMAL4,AMD13,"(496, 512)",62.70137405395508,0.17186880111694336
19,NORMAL4,DME13,"(496, 512)",62.71235656738281,0.2500009536743164
5,NORMAL4,AMD14,"(496, 512)",62.7251091003418,0.29688096046447754
39,NORMAL4,NORMAL6,"(496, 512)",62.742156982421875,0.29688215255737305
6,NORMAL4,AMD15,"(496, 512)",62.794593811035156,0.20309758186340332
29,NORMAL4,DME9,"(496, 512)",62.8254280090332,0.2656238079071045
12,NORMAL4,AMD7,"(496, 512)",62.87568664550781,0.281221866607666
22,NORMAL4,DME2,"(496, 512)",62.883453369140625,0.2968738079071045
3,NORMAL4,AMD12,"(496, 512)",62.8907470703125,0.17188072204589844
23,NORMAL4,DME3,"(496, 512)",62.899375915527344,0.29691123962402344
0,NORMAL4,AMD1,"(496, 512)",62.93660354614258,0.20311617851257324
17,NORMAL4,DME11,"(496, 512)",62.96142578125,0.2343604564666748
7,NORMAL4,AMD2,"(496, 512)",62.97514724731445,0.20314693450927734
16,NORMAL4,DME10,"(496, 512)",63.00789260864258,0.18752837181091309
20,NORMAL4,DME14,"(496, 512)",63.00847625732422,0.23436808586120605
2,NORMAL4,AMD11,"(496, 512)",63.06724548339844,0.17188477516174316
8,NORMAL4,AMD3,"(496, 512)",63.09688949584961,0.203125
1,NORMAL4,AMD10,"(496, 512)",63.247467041015625,0.29686617851257324
