,query1,query2,size,siamese_distance,time
2,AMD9,AMD11,"(496, 512)",62.16169738769531,0.1718747615814209
1,AMD9,AMD10,"(496, 512)",62.2183837890625,0.28780174255371094
0,AMD9,AMD1,"(496, 512)",62.23234939575195,0.21460723876953125
4,AMD9,AMD13,"(496, 512)",62.31435775756836,0.1875011920928955
5,AMD9,AMD14,"(496, 512)",62.33287048339844,0.28342652320861816
7,AMD9,AMD2,"(496, 512)",62.3339958190918,0.20310449600219727
15,AMD9,DME10,"(496, 512)",62.3448371887207,0.1752781867980957
8,AMD9,AMD3,"(496, 512)",62.3737678527832,0.19214081764221191
27,AMD9,DME8,"(496, 512)",62.37465286254883,0.23649907112121582
22,AMD9,DME3,"(496, 512)",62.386871337890625,0.29930758476257324
16,AMD9,DME11,"(496, 512)",62.390830993652344,0.2323164939880371
13,AMD9,AMD8,"(496, 512)",62.391273498535156,0.17415404319763184
20,AMD9,DME15,"(496, 512)",62.406368255615234,0.25208401679992676
28,AMD9,DME9,"(496, 512)",62.43144607543945,0.2500288486480713
14,AMD9,DME1,"(496, 512)",62.4373664855957,0.28126978874206543
11,AMD9,AMD6,"(496, 512)",62.439842224121094,0.1740398406982422
17,AMD9,DME12,"(496, 512)",62.45133590698242,0.250002384185791
24,AMD9,DME5,"(496, 512)",62.46485900878906,0.2989768981933594
19,AMD9,DME14,"(496, 512)",62.46995544433594,0.23434710502624512
23,AMD9,DME4,"(496, 512)",62.4726448059082,0.2812492847442627
25,AMD9,DME6,"(496, 512)",62.47922897338867,0.301593542098999
3,AMD9,AMD12,"(496, 512)",62.488624572753906,0.17420387268066406
26,AMD9,DME7,"(496, 512)",62.4939079284668,0.2500011920928955
18,AMD9,DME13,"(496, 512)",62.570804595947266,0.2546238899230957
6,AMD9,AMD15,"(496, 512)",62.5897216796875,0.20311665534973145
10,AMD9,AMD5,"(496, 512)",62.59364700317383,0.1718733310699463
12,AMD9,AMD7,"(496, 512)",62.60969543457031,0.2968745231628418
21,AMD9,DME2,"(496, 512)",62.6256217956543,0.2968592643737793
9,AMD9,AMD4,"(496, 512)",62.74576950073242,0.18748903274536133
