,query1,query2,size,siamese_distance,time
1,DME9,AMD10,"(496, 512)",62.20546340942383,0.283494234085083
25,DME9,DME5,"(496, 512)",62.2447624206543,0.29685378074645996
2,DME9,AMD11,"(496, 512)",62.247032165527344,0.17188119888305664
16,DME9,DME10,"(496, 512)",62.26649856567383,0.17185449600219727
21,DME9,DME15,"(496, 512)",62.27519989013672,0.2343759536743164
11,DME9,AMD6,"(496, 512)",62.27979278564453,0.17431092262268066
7,DME9,AMD2,"(496, 512)",62.2990608215332,0.20314502716064453
18,DME9,DME12,"(496, 512)",62.29966735839844,0.2367403507232666
4,DME9,AMD13,"(496, 512)",62.308162689208984,0.18751239776611328
15,DME9,DME1,"(496, 512)",62.324729919433594,0.2989354133605957
26,DME9,DME6,"(496, 512)",62.326942443847656,0.28355979919433594
19,DME9,DME13,"(496, 512)",62.33252716064453,0.25002241134643555
0,DME9,AMD1,"(496, 512)",62.34278106689453,0.20315837860107422
17,DME9,DME11,"(496, 512)",62.34450149536133,0.2499983310699463
23,DME9,DME3,"(496, 512)",62.346378326416016,0.2968754768371582
10,DME9,AMD5,"(496, 512)",62.34950256347656,0.1718735694885254
27,DME9,DME7,"(496, 512)",62.35143280029297,0.25783801078796387
22,DME9,DME2,"(496, 512)",62.36410140991211,0.28583598136901855
3,DME9,AMD12,"(496, 512)",62.36821746826172,0.1762533187866211
5,DME9,AMD14,"(496, 512)",62.40886688232422,0.28125810623168945
28,DME9,DME8,"(496, 512)",62.41018295288086,0.24668574333190918
12,DME9,AMD7,"(496, 512)",62.416412353515625,0.29686808586120605
14,DME9,AMD9,"(496, 512)",62.43144607543945,0.301541805267334
8,DME9,AMD3,"(496, 512)",62.43359375,0.2051410675048828
13,DME9,AMD8,"(496, 512)",62.445701599121094,0.17185354232788086
20,DME9,DME14,"(496, 512)",62.45683670043945,0.25230979919433594
6,DME9,AMD15,"(496, 512)",62.45713806152344,0.2055644989013672
9,DME9,AMD4,"(496, 512)",62.48674392700195,0.17189812660217285
24,DME9,DME4,"(496, 512)",62.494415283203125,0.28341245651245117
