,query image,k,reciprocal rank for k = 3,average precision for k = 3,reciprocal rank for k = 5,average precision for k = 5,reciprocal rank for k = 7,average precision for k = 7,time in seconds
0,AMD1,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.8571428571428571,7.859295845031738
1,AMD10,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.42857142857142855,7.586179733276367
2,AMD11,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714,7.29082727432251
3,AMD12,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,7.319784641265869
4,AMD13,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.7142857142857143,7.273081541061401
5,AMD14,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.8571428571428571,7.384552955627441
6,AMD15,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.7142857142857143,7.257429361343384
7,AMD2,"3, 5, 7",1.0,0.3333333333333333,1.0,0.6,1.0,0.5714285714285714,7.212833404541016
8,AMD3,"3, 5, 7",0.5,0.3333333333333333,0.5,0.2,0.5,0.14285714285714285,7.239452123641968
9,AMD4,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.7142857142857143,7.337826490402222
10,AMD5,"3, 5, 7",1.0,0.3333333333333333,1.0,0.6,1.0,0.7142857142857143,7.181300163269043
11,AMD6,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.8571428571428571,7.161508083343506
12,AMD7,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,7.353316307067871
13,AMD8,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.7142857142857143,8.011435508728027
14,AMD9,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.7142857142857143,7.484140872955322
15,DME1,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.14285714285714285,7.499987840652466
16,DME10,"3, 5, 7",0.0,0.0,0.25,0.4,0.25,0.42857142857142855,7.5213623046875
17,DME11,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.2857142857142857,7.392223834991455
18,DME12,"3, 5, 7",0.5,0.3333333333333333,0.5,0.2,0.5,0.42857142857142855,7.436187028884888
19,DME13,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.1875083446502686
20,DME14,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.14285714285714285,7.2343668937683105
21,DME15,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.2857142857142857,7.359505653381348
22,DME2,"3, 5, 7",0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,7.234249830245972
23,DME3,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.42857142857142855,7.218753099441528
24,DME4,"3, 5, 7",0.5,0.3333333333333333,0.5,0.4,0.5,0.2857142857142857,7.444133281707764
25,DME5,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.2857142857142857,7.8610498905181885
26,DME6,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.2857142857142857,7.834628343582153
27,DME7,"3, 5, 7",0.5,0.3333333333333333,0.5,0.2,0.5,0.2857142857142857,7.822627544403076
28,DME8,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.14285714285714285,7.296894788742065
29,DME9,"3, 5, 7",0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,7.406229019165039
30,Average MAP and MRR,"3, 5, 7",0.5555555555555556,0.40000000000000013,0.5972222222222221,0.4333333333333332,0.6067460317460316,0.4571428571428572,222.7026720046997
