,query1,query2,size,siamese_distance,time
27,NORMAL4,NORMAL9,"(496, 512)",63.21282958984375,0.3014516830444336
26,NORMAL4,NORMAL8,"(496, 512)",63.38111877441406,0.2993812561035156
18,NORMAL4,NORMAL13,"(496, 512)",63.443843841552734,0.28350234031677246
11,NORMAL4,AMD6,"(496, 512)",63.460121154785156,0.1718742847442627
14,NORMAL4,AMD9,"(496, 512)",63.52508544921875,0.28123021125793457
16,NORMAL4,NORMAL10,"(496, 512)",63.53932189941406,0.296875
13,NORMAL4,AMD8,"(496, 512)",63.55735778808594,0.18989253044128418
25,NORMAL4,NORMAL7,"(496, 512)",63.67525100708008,0.29685258865356445
19,NORMAL4,NORMAL14,"(496, 512)",63.682579040527344,0.29689788818359375
24,NORMAL4,NORMAL6,"(496, 512)",63.69441604614258,0.29888415336608887
20,NORMAL4,NORMAL15,"(496, 512)",63.73351287841797,0.3013472557067871
5,NORMAL4,AMD14,"(496, 512)",63.7467041015625,0.28603291511535645
9,NORMAL4,AMD4,"(496, 512)",63.76948165893555,0.1874833106994629
23,NORMAL4,NORMAL5,"(496, 512)",63.786590576171875,0.29689621925354004
22,NORMAL4,NORMAL3,"(496, 512)",63.85247039794922,0.2992563247680664
17,NORMAL4,NORMAL12,"(496, 512)",63.86035919189453,0.2834742069244385
10,NORMAL4,AMD5,"(496, 512)",63.9154167175293,0.17435288429260254
21,NORMAL4,NORMAL2,"(496, 512)",63.98106002807617,0.296872615814209
15,NORMAL4,NORMAL1,"(496, 512)",64.02452087402344,0.28575873374938965
4,NORMAL4,AMD13,"(496, 512)",64.10407257080078,0.18748974800109863
3,NORMAL4,AMD12,"(496, 512)",64.66446685791016,0.1719071865081787
6,NORMAL4,AMD15,"(496, 512)",64.71156311035156,0.2031259536743164
0,NORMAL4,AMD1,"(496, 512)",65.17182922363281,0.18968844413757324
12,NORMAL4,AMD7,"(496, 512)",65.20130920410156,0.28122830390930176
7,NORMAL4,AMD2,"(496, 512)",65.63160705566406,0.20501470565795898
2,NORMAL4,AMD11,"(496, 512)",65.76757049560547,0.17403006553649902
8,NORMAL4,AMD3,"(496, 512)",66.2093276977539,0.18753814697265625
1,NORMAL4,AMD10,"(496, 512)",66.6007308959961,0.2812488079071045
