,query image,k,reciprocal rank for k = 3,average precision for k = 3,reciprocal rank for k = 5,average precision for k = 5,reciprocal rank for k = 7,average precision for k = 7,time in seconds
0,AMD1,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.42857142857142855,7.3749964237213135
1,AMD10,"3, 5, 7",0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,7.343772888183594
2,AMD11,"3, 5, 7",1.0,0.3333333333333333,1.0,0.2,1.0,0.2857142857142857,7.2968525886535645
3,AMD12,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714,7.1250221729278564
4,AMD13,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,7.3124778270721436
5,AMD14,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,7.296885251998901
6,AMD15,"3, 5, 7",0.5,0.6666666666666666,0.5,0.4,0.5,0.42857142857142855,7.156240940093994
7,AMD2,"3, 5, 7",1.0,0.3333333333333333,1.0,0.2,1.0,0.14285714285714285,7.296874046325684
8,AMD3,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.14285714285714285,7.296875476837158
9,AMD4,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571,7.6406543254852295
10,AMD5,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,7.437470197677612
11,AMD6,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571,7.281250476837158
12,AMD7,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.2857142857142857,7.234395980834961
13,AMD8,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,7.343729019165039
14,AMD9,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,7.296875238418579
15,NORMAL1,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.312499284744263
16,NORMAL10,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.2343974113464355
17,NORMAL12,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.203124761581421
18,NORMAL13,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.28125262260437
19,NORMAL14,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.265625
20,NORMAL15,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.2812371253967285
21,NORMAL2,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.265625953674316
22,NORMAL3,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.312508821487427
23,NORMAL4,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.2656025886535645
24,NORMAL5,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.171875238418579
25,NORMAL6,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.234398365020752
26,NORMAL7,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.265620231628418
27,NORMAL8,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.250022888183594
28,NORMAL9,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.2499988079071045
29,Average MAP and MRR,"3, 5, 7",0.43103448275862066,0.3333333333333333,0.4396551724137931,0.3241379310344828,0.4445812807881773,0.31527093596059114,211.32816195487976
