,query1,query2,size,siamese_distance,time
1,AMD4,AMD10,"(496, 512)",61.35526657104492,0.30385589599609375
8,AMD4,AMD3,"(496, 512)",61.38383483886719,0.20500874519348145
4,AMD4,AMD13,"(496, 512)",61.41566467285156,0.1830003261566162
23,AMD4,NORMAL5,"(496, 512)",61.42243194580078,0.3039731979370117
16,AMD4,NORMAL12,"(496, 512)",61.486114501953125,0.3070087432861328
18,AMD4,NORMAL14,"(496, 512)",61.515869140625,0.3109860420227051
17,AMD4,NORMAL13,"(496, 512)",61.52511215209961,0.30800724029541016
21,AMD4,NORMAL3,"(496, 512)",61.56403732299805,0.3139979839324951
19,AMD4,NORMAL15,"(496, 512)",61.5689697265625,0.3066134452819824
3,AMD4,AMD12,"(496, 512)",61.58889389038086,0.18699860572814941
7,AMD4,AMD2,"(496, 512)",61.5933952331543,0.2069990634918213
11,AMD4,AMD7,"(496, 512)",61.60881042480469,0.3039994239807129
27,AMD4,NORMAL9,"(496, 512)",61.620670318603516,0.3159916400909424
14,AMD4,NORMAL1,"(496, 512)",61.62209701538086,0.3049948215484619
0,AMD4,AMD1,"(496, 512)",61.643951416015625,0.2069721221923828
24,AMD4,NORMAL6,"(496, 512)",61.679691314697266,0.30800390243530273
9,AMD4,AMD5,"(496, 512)",61.691627502441406,0.18499159812927246
2,AMD4,AMD11,"(496, 512)",61.69267272949219,0.18856263160705566
13,AMD4,AMD9,"(496, 512)",61.69327926635742,0.3000054359436035
22,AMD4,NORMAL4,"(496, 512)",61.69586944580078,0.30500125885009766
5,AMD4,AMD14,"(496, 512)",61.69678497314453,0.30204153060913086
12,AMD4,AMD8,"(496, 512)",61.73036575317383,0.18899893760681152
20,AMD4,NORMAL2,"(496, 512)",61.734535217285156,0.30300188064575195
10,AMD4,AMD6,"(496, 512)",61.747806549072266,0.18200087547302246
6,AMD4,AMD15,"(496, 512)",61.753013610839844,0.2039780616760254
25,AMD4,NORMAL7,"(496, 512)",61.76232147216797,0.3199782371520996
26,AMD4,NORMAL8,"(496, 512)",61.77820587158203,0.30600738525390625
15,AMD4,NORMAL10,"(496, 512)",61.79802703857422,0.32199954986572266
