,query1,query2,size,siamese_distance,time
13,NORMAL14,DME8,"(496, 512)",62.30646514892578,0.2521781921386719
2,NORMAL14,DME11,"(496, 512)",62.30836486816406,0.24259400367736816
22,NORMAL14,NORMAL4,"(496, 512)",62.34809112548828,0.3012399673461914
16,NORMAL14,NORMAL10,"(496, 512)",62.35003662109375,0.3124730587005615
6,NORMAL14,DME15,"(496, 512)",62.36376190185547,0.2679893970489502
27,NORMAL14,NORMAL9,"(496, 512)",62.370601654052734,0.3125004768371582
10,NORMAL14,DME5,"(496, 512)",62.37393569946289,0.29689717292785645
0,NORMAL14,DME1,"(496, 512)",62.39649200439453,0.2968776226043701
23,NORMAL14,NORMAL5,"(496, 512)",62.39866638183594,0.2968745231628418
11,NORMAL14,DME6,"(496, 512)",62.39896011352539,0.29940342903137207
18,NORMAL14,NORMAL13,"(496, 512)",62.404701232910156,0.2968463897705078
3,NORMAL14,DME12,"(496, 512)",62.409934997558594,0.25
4,NORMAL14,DME13,"(496, 512)",62.41365051269531,0.2523956298828125
14,NORMAL14,DME9,"(496, 512)",62.430519104003906,0.2343754768371582
26,NORMAL14,NORMAL8,"(496, 512)",62.43917465209961,0.2835667133331299
24,NORMAL14,NORMAL6,"(496, 512)",62.44026184082031,0.29928159713745117
1,NORMAL14,DME10,"(496, 512)",62.47615432739258,0.18034863471984863
12,NORMAL14,DME7,"(496, 512)",62.49199295043945,0.25
7,NORMAL14,DME2,"(496, 512)",62.495670318603516,0.2968862056732178
21,NORMAL14,NORMAL3,"(496, 512)",62.51655197143555,0.29918360710144043
25,NORMAL14,NORMAL7,"(496, 512)",62.5275764465332,0.3125011920928955
15,NORMAL14,NORMAL1,"(496, 512)",62.53569030761719,0.30149340629577637
5,NORMAL14,DME14,"(496, 512)",62.58662033081055,0.23434758186340332
19,NORMAL14,NORMAL15,"(496, 512)",62.5997314453125,0.2836778163909912
9,NORMAL14,DME4,"(496, 512)",62.60945129394531,0.29886817932128906
20,NORMAL14,NORMAL2,"(496, 512)",62.64044189453125,0.29689741134643555
17,NORMAL14,NORMAL12,"(496, 512)",62.664894104003906,0.2833998203277588
8,NORMAL14,DME3,"(496, 512)",62.68756866455078,0.2857489585876465
