,query image,k,reciprocal rank for k = 3,average precision for k = 3,reciprocal rank for k = 5,average precision for k = 5,reciprocal rank for k = 7,average precision for k = 7,time in seconds
0,DME1,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.5714285714285714,7.964958667755127
1,DME10,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.168681144714355
2,DME11,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.016059637069702
3,DME12,"3, 5, 7",0.5,0.3333333333333333,0.5,0.6,0.5,0.5714285714285714,7.996481657028198
4,DME13,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.8571428571428571,7.915639877319336
5,DME14,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,7.952452659606934
6,DME15,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,0.3333333333333333,0.5714285714285714,8.008979320526123
7,DME2,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571,7.980774879455566
8,DME3,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,7.996236801147461
9,DME4,"3, 5, 7",0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,7.855511665344238
10,DME5,"3, 5, 7",0.0,0.0,0.25,0.4,0.25,0.42857142857142855,7.838023900985718
11,DME6,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714,7.824344158172607
12,DME7,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714,8.123435258865356
13,DME8,"3, 5, 7",0.5,0.3333333333333333,0.5,0.6,0.5,0.42857142857142855,8.121483087539673
14,DME9,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.105417966842651
15,NORMAL1,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571,8.248745203018188
16,NORMAL10,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.42857142857142855,8.277508020401001
17,NORMAL12,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.7142857142857143,8.248962879180908
18,NORMAL13,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.42857142857142855,8.120793104171753
19,NORMAL14,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.42857142857142855,8.188531160354614
20,NORMAL15,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,8.058779001235962
21,NORMAL2,"3, 5, 7",0.5,0.6666666666666666,0.5,0.8,0.5,0.7142857142857143,8.266257047653198
22,NORMAL3,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,8.165995121002197
23,NORMAL4,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.42857142857142855,8.24616026878357
24,NORMAL5,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.2857142857142857,8.15425992012024
25,NORMAL6,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.7142857142857143,8.028052568435669
26,NORMAL7,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.7142857142857143,7.980264663696289
27,NORMAL8,"3, 5, 7",0.5,0.3333333333333333,0.5,0.4,0.5,0.5714285714285714,8.011982440948486
28,NORMAL9,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.42857142857142855,8.01177430152893
29,Average MAP and MRR,"3, 5, 7",0.793103448275862,0.6666666666666666,0.8017241379310344,0.6551724137931035,0.807471264367816,0.645320197044335,233.87654638290405
