,query1,query2,size,siamese_distance,time
1,DME11,DME10,"(496, 512)",62.416343688964844,0.1874985694885254
7,DME11,DME3,"(496, 512)",62.48043441772461,0.3086063861846924
13,DME11,DME9,"(496, 512)",62.58818435668945,0.27033329010009766
4,DME11,DME14,"(496, 512)",62.62214279174805,0.3290140628814697
6,DME11,DME2,"(496, 512)",62.666290283203125,0.32192158699035645
3,DME11,DME13,"(496, 512)",62.72014617919922,0.2656567096710205
15,DME11,NORMAL10,"(496, 512)",62.852638244628906,0.30355310440063477
12,DME11,DME8,"(496, 512)",62.86948013305664,0.27796244621276855
17,DME11,NORMAL13,"(496, 512)",62.88920211791992,0.30615687370300293
18,DME11,NORMAL14,"(496, 512)",62.90379333496094,0.3178393840789795
27,DME11,NORMAL9,"(496, 512)",62.933719635009766,0.31572484970092773
10,DME11,DME6,"(496, 512)",62.946353912353516,0.3219008445739746
5,DME11,DME15,"(496, 512)",62.95680618286133,0.2593507766723633
0,DME11,DME1,"(496, 512)",62.95687484741211,0.3116588592529297
11,DME11,DME7,"(496, 512)",62.9570426940918,0.259570837020874
26,DME11,NORMAL8,"(496, 512)",62.96431350708008,0.31505870819091797
20,DME11,NORMAL2,"(496, 512)",62.96738052368164,0.30589771270751953
9,DME11,DME5,"(496, 512)",62.976932525634766,0.3163425922393799
23,DME11,NORMAL5,"(496, 512)",62.984413146972656,0.3035409450531006
22,DME11,NORMAL4,"(496, 512)",62.997379302978516,0.30394816398620605
16,DME11,NORMAL12,"(496, 512)",63.05129623413086,0.31250977516174316
2,DME11,DME12,"(496, 512)",63.0536994934082,0.25682878494262695
24,DME11,NORMAL6,"(496, 512)",63.05824661254883,0.3281545639038086
8,DME11,DME4,"(496, 512)",63.06881332397461,0.30308008193969727
19,DME11,NORMAL15,"(496, 512)",63.11355209350586,0.31493091583251953
25,DME11,NORMAL7,"(496, 512)",63.154518127441406,0.3119325637817383
14,DME11,NORMAL1,"(496, 512)",63.16109848022461,0.31589603424072266
21,DME11,NORMAL3,"(496, 512)",63.18246078491211,0.3125278949737549
