,query1,query2,size,siamese_distance
14,DME1,NORMAL5,"(496, 512)",61.560123443603516
0,DME1,DME2,"(496, 512)",61.57512283325195
9,DME1,NORMAL14,"(496, 512)",61.7424201965332
18,DME1,NORMAL9,"(496, 512)",61.74290084838867
16,DME1,NORMAL7,"(496, 512)",61.7490119934082
3,DME1,DME5,"(496, 512)",61.75787353515625
15,DME1,NORMAL6,"(496, 512)",61.761070251464844
12,DME1,NORMAL3,"(496, 512)",61.774566650390625
8,DME1,NORMAL13,"(496, 512)",61.77981948852539
17,DME1,NORMAL8,"(496, 512)",61.79011535644531
2,DME1,DME4,"(496, 512)",61.79069137573242
10,DME1,NORMAL15,"(496, 512)",61.791255950927734
13,DME1,NORMAL4,"(496, 512)",61.7963752746582
5,DME1,NORMAL1,"(496, 512)",61.86704635620117
4,DME1,DME6,"(496, 512)",61.87213897705078
6,DME1,NORMAL10,"(496, 512)",61.87775421142578
11,DME1,NORMAL2,"(496, 512)",61.952754974365234
7,DME1,NORMAL12,"(496, 512)",62.000450134277344
1,DME1,DME3,"(496, 512)",62.29319381713867
