,query1,query2,size,siamese_distance
6,NORMAL2,NORMAL1,"(496, 512)",61.5225944519043
12,NORMAL2,NORMAL3,"(496, 512)",61.528560638427734
8,NORMAL2,NORMAL12,"(496, 512)",61.58391189575195
3,NORMAL2,DME4,"(496, 512)",61.65005111694336
7,NORMAL2,NORMAL10,"(496, 512)",61.66988754272461
15,NORMAL2,NORMAL6,"(496, 512)",61.67025375366211
16,NORMAL2,NORMAL7,"(496, 512)",61.683406829833984
11,NORMAL2,NORMAL15,"(496, 512)",61.701507568359375
4,NORMAL2,DME5,"(496, 512)",61.724212646484375
17,NORMAL2,NORMAL8,"(496, 512)",61.76835632324219
13,NORMAL2,NORMAL4,"(496, 512)",61.830684661865234
5,NORMAL2,DME6,"(496, 512)",61.85834884643555
18,NORMAL2,NORMAL9,"(496, 512)",61.8897819519043
14,NORMAL2,NORMAL5,"(496, 512)",61.951873779296875
0,NORMAL2,DME1,"(496, 512)",61.952754974365234
10,NORMAL2,NORMAL14,"(496, 512)",62.001834869384766
9,NORMAL2,NORMAL13,"(496, 512)",62.01235580444336
1,NORMAL2,DME2,"(496, 512)",62.17674255371094
2,NORMAL2,DME3,"(496, 512)",62.550384521484375
