,query1,query2,size,siamese_distance
17,DME6,NORMAL8,"(496, 512)",62.05738067626953
13,DME6,NORMAL4,"(496, 512)",62.05738830566406
8,DME6,NORMAL13,"(496, 512)",62.05802536010742
4,DME6,DME5,"(496, 512)",62.05805969238281
18,DME6,NORMAL9,"(496, 512)",62.05846405029297
0,DME6,DME1,"(496, 512)",62.058502197265625
9,DME6,NORMAL14,"(496, 512)",62.05854415893555
10,DME6,NORMAL15,"(496, 512)",62.05873489379883
15,DME6,NORMAL6,"(496, 512)",62.058746337890625
3,DME6,DME4,"(496, 512)",62.058921813964844
12,DME6,NORMAL3,"(496, 512)",62.058937072753906
14,DME6,NORMAL5,"(496, 512)",62.058990478515625
16,DME6,NORMAL7,"(496, 512)",62.05925750732422
6,DME6,NORMAL10,"(496, 512)",62.059326171875
7,DME6,NORMAL12,"(496, 512)",62.05937576293945
5,DME6,NORMAL1,"(496, 512)",62.05955505371094
11,DME6,NORMAL2,"(496, 512)",62.060523986816406
1,DME6,DME2,"(496, 512)",62.06093978881836
2,DME6,DME3,"(496, 512)",62.06510543823242
