,query1,query2,size,siamese_distance
0,NORMAL5,DME1,"(496, 512)",62.05827713012695
18,NORMAL5,NORMAL9,"(496, 512)",62.05846405029297
9,NORMAL5,NORMAL13,"(496, 512)",62.058685302734375
10,NORMAL5,NORMAL14,"(496, 512)",62.058773040771484
4,NORMAL5,DME5,"(496, 512)",62.05894088745117
5,NORMAL5,DME6,"(496, 512)",62.058990478515625
1,NORMAL5,DME2,"(496, 512)",62.059146881103516
16,NORMAL5,NORMAL7,"(496, 512)",62.059173583984375
14,NORMAL5,NORMAL4,"(496, 512)",62.05936050415039
17,NORMAL5,NORMAL8,"(496, 512)",62.059688568115234
13,NORMAL5,NORMAL3,"(496, 512)",62.060367584228516
7,NORMAL5,NORMAL10,"(496, 512)",62.060638427734375
15,NORMAL5,NORMAL6,"(496, 512)",62.06084442138672
6,NORMAL5,NORMAL1,"(496, 512)",62.060848236083984
3,NORMAL5,DME4,"(496, 512)",62.06087112426758
12,NORMAL5,NORMAL2,"(496, 512)",62.061500549316406
11,NORMAL5,NORMAL15,"(496, 512)",62.06151580810547
8,NORMAL5,NORMAL12,"(496, 512)",62.06157684326172
2,NORMAL5,DME3,"(496, 512)",62.064186096191406
