,query1,query2,size,siamese_distance
4,DME3,DME6,"(496, 512)",56.571434020996094
10,DME3,NORMAL15,"(496, 512)",56.674346923828125
18,DME3,NORMAL9,"(496, 512)",57.12105941772461
9,DME3,NORMAL14,"(496, 512)",57.55781555175781
2,DME3,DME4,"(496, 512)",57.623165130615234
8,DME3,NORMAL13,"(496, 512)",57.64456558227539
7,DME3,NORMAL12,"(496, 512)",57.75267791748047
5,DME3,NORMAL1,"(496, 512)",57.90752029418945
11,DME3,NORMAL2,"(496, 512)",57.92987060546875
3,DME3,DME5,"(496, 512)",57.93623733520508
12,DME3,NORMAL3,"(496, 512)",58.06626892089844
15,DME3,NORMAL6,"(496, 512)",58.075706481933594
16,DME3,NORMAL7,"(496, 512)",58.158809661865234
13,DME3,NORMAL4,"(496, 512)",58.279563903808594
17,DME3,NORMAL8,"(496, 512)",58.38104248046875
1,DME3,DME2,"(496, 512)",58.78321075439453
6,DME3,NORMAL10,"(496, 512)",58.98711395263672
14,DME3,NORMAL5,"(496, 512)",59.189918518066406
0,DME3,DME1,"(496, 512)",59.66688537597656
