,query1,query2,size,siamese_distance
2,NORMAL8,DME3,"(496, 512)",58.38104248046875
11,NORMAL8,NORMAL15,"(496, 512)",58.55632781982422
5,NORMAL8,DME6,"(496, 512)",59.0802116394043
0,NORMAL8,DME1,"(496, 512)",59.15647506713867
8,NORMAL8,NORMAL12,"(496, 512)",59.39078140258789
15,NORMAL8,NORMAL5,"(496, 512)",59.40789031982422
12,NORMAL8,NORMAL2,"(496, 512)",59.452674865722656
3,NORMAL8,DME4,"(496, 512)",59.46019744873047
6,NORMAL8,NORMAL1,"(496, 512)",59.51649856567383
18,NORMAL8,NORMAL9,"(496, 512)",59.61357879638672
13,NORMAL8,NORMAL3,"(496, 512)",59.75529098510742
10,NORMAL8,NORMAL14,"(496, 512)",59.798179626464844
17,NORMAL8,NORMAL7,"(496, 512)",59.846336364746094
1,NORMAL8,DME2,"(496, 512)",59.889347076416016
9,NORMAL8,NORMAL13,"(496, 512)",60.02538299560547
16,NORMAL8,NORMAL6,"(496, 512)",60.05760955810547
7,NORMAL8,NORMAL10,"(496, 512)",60.18691635131836
4,NORMAL8,DME5,"(496, 512)",60.23089599609375
14,NORMAL8,NORMAL4,"(496, 512)",60.72975158691406
