,query1,query2,size,siamese_distance
18,NORMAL9,NORMAL8,"(496, 512)",63.83488082885742
2,NORMAL9,DME3,"(496, 512)",64.19428253173828
10,NORMAL9,NORMAL14,"(496, 512)",64.31117248535156
0,NORMAL9,DME1,"(496, 512)",64.5390853881836
12,NORMAL9,NORMAL2,"(496, 512)",64.65144348144531
17,NORMAL9,NORMAL7,"(496, 512)",64.66699981689453
7,NORMAL9,NORMAL10,"(496, 512)",64.76437377929688
9,NORMAL9,NORMAL13,"(496, 512)",64.82201385498047
11,NORMAL9,NORMAL15,"(496, 512)",64.85948181152344
8,NORMAL9,NORMAL12,"(496, 512)",64.96170043945312
16,NORMAL9,NORMAL6,"(496, 512)",65.07112884521484
13,NORMAL9,NORMAL3,"(496, 512)",65.2274169921875
1,NORMAL9,DME2,"(496, 512)",65.248046875
4,NORMAL9,DME5,"(496, 512)",65.37328338623047
15,NORMAL9,NORMAL5,"(496, 512)",65.38812255859375
3,NORMAL9,DME4,"(496, 512)",65.44715118408203
5,NORMAL9,DME6,"(496, 512)",65.52418518066406
6,NORMAL9,NORMAL1,"(496, 512)",65.84876251220703
14,NORMAL9,NORMAL4,"(496, 512)",66.03131866455078
