,query1,query2,size,siamese_distance
2,DME6,DME3,"(496, 512)",62.443634033203125
0,DME6,DME1,"(496, 512)",62.444923400878906
8,DME6,NORMAL13,"(496, 512)",62.445701599121094
14,DME6,NORMAL5,"(496, 512)",62.44581985473633
15,DME6,NORMAL6,"(496, 512)",62.44584655761719
6,DME6,NORMAL10,"(496, 512)",62.446144104003906
17,DME6,NORMAL8,"(496, 512)",62.44645309448242
12,DME6,NORMAL3,"(496, 512)",62.44654083251953
13,DME6,NORMAL4,"(496, 512)",62.44661331176758
7,DME6,NORMAL12,"(496, 512)",62.44780731201172
1,DME6,DME2,"(496, 512)",62.44889831542969
9,DME6,NORMAL14,"(496, 512)",62.4489860534668
10,DME6,NORMAL15,"(496, 512)",62.449066162109375
5,DME6,NORMAL1,"(496, 512)",62.44917678833008
18,DME6,NORMAL9,"(496, 512)",62.44926452636719
3,DME6,DME4,"(496, 512)",62.449337005615234
16,DME6,NORMAL7,"(496, 512)",62.449462890625
11,DME6,NORMAL2,"(496, 512)",62.45016098022461
4,DME6,DME5,"(496, 512)",62.45124435424805
