,query1,query2,size,siamese_distance
2,NORMAL7,DME3,"(496, 512)",62.4439582824707
0,NORMAL7,DME1,"(496, 512)",62.44488525390625
15,NORMAL7,NORMAL5,"(496, 512)",62.44688034057617
14,NORMAL7,NORMAL4,"(496, 512)",62.447105407714844
16,NORMAL7,NORMAL6,"(496, 512)",62.44712829589844
7,NORMAL7,NORMAL10,"(496, 512)",62.44721984863281
3,NORMAL7,DME4,"(496, 512)",62.447235107421875
11,NORMAL7,NORMAL15,"(496, 512)",62.447322845458984
10,NORMAL7,NORMAL14,"(496, 512)",62.447357177734375
17,NORMAL7,NORMAL8,"(496, 512)",62.44757080078125
9,NORMAL7,NORMAL13,"(496, 512)",62.447975158691406
1,NORMAL7,DME2,"(496, 512)",62.44816589355469
8,NORMAL7,NORMAL12,"(496, 512)",62.448177337646484
13,NORMAL7,NORMAL3,"(496, 512)",62.4486083984375
5,NORMAL7,DME6,"(496, 512)",62.449462890625
12,NORMAL7,NORMAL2,"(496, 512)",62.45016098022461
6,NORMAL7,NORMAL1,"(496, 512)",62.450679779052734
18,NORMAL7,NORMAL9,"(496, 512)",62.451229095458984
4,NORMAL7,DME5,"(496, 512)",62.451385498046875
