,query1,query2,size,siamese_distance
1,DME2,DME3,"(496, 512)",62.321083068847656
2,DME2,DME4,"(496, 512)",62.321083068847656
3,DME2,DME5,"(496, 512)",62.321083068847656
4,DME2,DME6,"(496, 512)",62.32109069824219
14,DME2,NORMAL5,"(496, 512)",62.32418441772461
15,DME2,NORMAL6,"(496, 512)",62.324214935302734
18,DME2,NORMAL9,"(496, 512)",62.32476806640625
16,DME2,NORMAL7,"(496, 512)",62.324771881103516
17,DME2,NORMAL8,"(496, 512)",62.32478713989258
5,DME2,NORMAL1,"(496, 512)",62.32501983642578
11,DME2,NORMAL2,"(496, 512)",62.32502365112305
13,DME2,NORMAL4,"(496, 512)",62.32502365112305
7,DME2,NORMAL12,"(496, 512)",62.32502746582031
9,DME2,NORMAL14,"(496, 512)",62.32503128051758
10,DME2,NORMAL15,"(496, 512)",62.32503890991211
8,DME2,NORMAL13,"(496, 512)",62.32503890991211
12,DME2,NORMAL3,"(496, 512)",62.325042724609375
6,DME2,NORMAL10,"(496, 512)",62.32505416870117
0,DME2,DME1,"(496, 512)",62.326324462890625
