,query1,query2,size,siamese_distance
2,NORMAL9,DME3,"(496, 512)",62.32000732421875
10,NORMAL9,NORMAL14,"(496, 512)",62.32036590576172
7,NORMAL9,NORMAL10,"(496, 512)",62.32046890258789
18,NORMAL9,NORMAL8,"(496, 512)",62.32073211669922
8,NORMAL9,NORMAL12,"(496, 512)",62.32130813598633
9,NORMAL9,NORMAL13,"(496, 512)",62.322120666503906
12,NORMAL9,NORMAL2,"(496, 512)",62.322471618652344
13,NORMAL9,NORMAL3,"(496, 512)",62.322593688964844
15,NORMAL9,NORMAL5,"(496, 512)",62.32260513305664
17,NORMAL9,NORMAL7,"(496, 512)",62.32267761230469
4,NORMAL9,DME5,"(496, 512)",62.32275390625
6,NORMAL9,NORMAL1,"(496, 512)",62.32282257080078
1,NORMAL9,DME2,"(496, 512)",62.32283020019531
3,NORMAL9,DME4,"(496, 512)",62.32398986816406
16,NORMAL9,NORMAL6,"(496, 512)",62.324920654296875
5,NORMAL9,DME6,"(496, 512)",62.3264045715332
11,NORMAL9,NORMAL15,"(496, 512)",62.32672119140625
0,NORMAL9,DME1,"(496, 512)",62.327117919921875
14,NORMAL9,NORMAL4,"(496, 512)",62.32964324951172
