,query1,query2,size,siamese_distance
10,AMD11,DME3,"(496, 512)",62.60444259643555
24,AMD11,NORMAL5,"(496, 512)",62.813880920410156
16,AMD11,NORMAL11,"(496, 512)",62.86865997314453
1,AMD11,AMD12,"(496, 512)",63.030250549316406
8,AMD11,DME1,"(496, 512)",63.1414794921875
27,AMD11,NORMAL8,"(496, 512)",63.17560958862305
9,AMD11,DME2,"(496, 512)",63.23396682739258
0,AMD11,AMD1,"(496, 512)",63.339962005615234
23,AMD11,NORMAL4,"(496, 512)",63.439979553222656
15,AMD11,NORMAL10,"(496, 512)",63.47755813598633
4,AMD11,AMD4,"(496, 512)",63.60816955566406
21,AMD11,NORMAL2,"(496, 512)",63.61237335205078
2,AMD11,AMD13,"(496, 512)",63.7044677734375
17,AMD11,NORMAL12,"(496, 512)",63.713932037353516
25,AMD11,NORMAL6,"(496, 512)",63.7142333984375
3,AMD11,AMD2,"(496, 512)",63.72908020019531
22,AMD11,NORMAL3,"(496, 512)",63.75703048706055
26,AMD11,NORMAL7,"(496, 512)",63.784358978271484
28,AMD11,NORMAL9,"(496, 512)",63.790855407714844
12,AMD11,DME5,"(496, 512)",63.81550979614258
19,AMD11,NORMAL14,"(496, 512)",63.87313461303711
18,AMD11,NORMAL13,"(496, 512)",63.88619613647461
5,AMD11,AMD5,"(496, 512)",63.919334411621094
11,AMD11,DME4,"(496, 512)",63.99339294433594
14,AMD11,NORMAL1,"(496, 512)",64.03368377685547
20,AMD11,NORMAL15,"(496, 512)",64.06088256835938
6,AMD11,AMD6,"(496, 512)",64.13480377197266
13,AMD11,DME6,"(496, 512)",64.20793151855469
7,AMD11,AMD8,"(496, 512)",64.38884735107422
