,query1,query2,size,siamese_distance
2,DME2,AMD12,"(496, 512)",62.510498046875
23,DME2,NORMAL4,"(496, 512)",62.52525329589844
4,DME2,AMD2,"(496, 512)",62.54566955566406
27,DME2,NORMAL8,"(496, 512)",62.56017303466797
18,DME2,NORMAL13,"(496, 512)",62.7117919921875
21,DME2,NORMAL2,"(496, 512)",62.72140121459961
9,DME2,DME1,"(496, 512)",62.74782180786133
0,DME2,AMD1,"(496, 512)",62.76814651489258
5,DME2,AMD4,"(496, 512)",62.77457046508789
25,DME2,NORMAL6,"(496, 512)",62.78327941894531
3,DME2,AMD13,"(496, 512)",62.786808013916016
12,DME2,DME5,"(496, 512)",62.82300567626953
28,DME2,NORMAL9,"(496, 512)",62.881046295166016
11,DME2,DME4,"(496, 512)",62.91524124145508
19,DME2,NORMAL14,"(496, 512)",62.916038513183594
15,DME2,NORMAL10,"(496, 512)",62.91756057739258
22,DME2,NORMAL3,"(496, 512)",63.13890075683594
26,DME2,NORMAL7,"(496, 512)",63.15624237060547
24,DME2,NORMAL5,"(496, 512)",63.17174530029297
7,DME2,AMD6,"(496, 512)",63.218711853027344
1,DME2,AMD11,"(496, 512)",63.23396682739258
14,DME2,NORMAL1,"(496, 512)",63.2602424621582
16,DME2,NORMAL11,"(496, 512)",63.305419921875
17,DME2,NORMAL12,"(496, 512)",63.31928253173828
10,DME2,DME3,"(496, 512)",63.42886734008789
6,DME2,AMD5,"(496, 512)",63.46980667114258
13,DME2,DME6,"(496, 512)",63.59236145019531
20,DME2,NORMAL15,"(496, 512)",63.673728942871094
8,DME2,AMD8,"(496, 512)",63.94961166381836
