,query1,query2,size,siamese_distance
18,NORMAL7,NORMAL12,"(496, 512)",62.283912658691406
12,NORMAL7,DME4,"(496, 512)",62.435855865478516
28,NORMAL7,NORMAL9,"(496, 512)",62.48029708862305
22,NORMAL7,NORMAL2,"(496, 512)",62.520263671875
5,NORMAL7,AMD4,"(496, 512)",62.6280632019043
15,NORMAL7,NORMAL1,"(496, 512)",62.64889907836914
21,NORMAL7,NORMAL15,"(496, 512)",62.67176055908203
13,NORMAL7,DME5,"(496, 512)",62.86985397338867
7,NORMAL7,AMD6,"(496, 512)",62.885738372802734
20,NORMAL7,NORMAL14,"(496, 512)",62.916725158691406
3,NORMAL7,AMD13,"(496, 512)",63.012638092041016
6,NORMAL7,AMD5,"(496, 512)",63.09640884399414
23,NORMAL7,NORMAL3,"(496, 512)",63.127601623535156
27,NORMAL7,NORMAL8,"(496, 512)",63.13330078125
16,NORMAL7,NORMAL10,"(496, 512)",63.14503860473633
10,NORMAL7,DME2,"(496, 512)",63.15624237060547
14,NORMAL7,DME6,"(496, 512)",63.16765594482422
2,NORMAL7,AMD12,"(496, 512)",63.173160552978516
17,NORMAL7,NORMAL11,"(496, 512)",63.197174072265625
4,NORMAL7,AMD2,"(496, 512)",63.229190826416016
9,NORMAL7,DME1,"(496, 512)",63.23048782348633
8,NORMAL7,AMD8,"(496, 512)",63.254825592041016
24,NORMAL7,NORMAL4,"(496, 512)",63.26195526123047
19,NORMAL7,NORMAL13,"(496, 512)",63.34272003173828
26,NORMAL7,NORMAL6,"(496, 512)",63.416255950927734
25,NORMAL7,NORMAL5,"(496, 512)",63.44651794433594
1,NORMAL7,AMD11,"(496, 512)",63.784358978271484
0,NORMAL7,AMD1,"(496, 512)",63.84333801269531
11,NORMAL7,DME3,"(496, 512)",63.96037292480469
