,query1,query2,size,siamese_distance
15,DME5,NORMAL6,"(496, 512)",61.51380157470703
16,DME5,NORMAL7,"(496, 512)",61.54168701171875
12,DME5,NORMAL3,"(496, 512)",61.575904846191406
10,DME5,NORMAL15,"(496, 512)",61.595184326171875
3,DME5,DME4,"(496, 512)",61.600154876708984
9,DME5,NORMAL14,"(496, 512)",61.619544982910156
14,DME5,NORMAL5,"(496, 512)",61.622886657714844
18,DME5,NORMAL9,"(496, 512)",61.637969970703125
17,DME5,NORMAL8,"(496, 512)",61.646270751953125
8,DME5,NORMAL13,"(496, 512)",61.66609191894531
13,DME5,NORMAL4,"(496, 512)",61.687259674072266
5,DME5,NORMAL1,"(496, 512)",61.687660217285156
4,DME5,DME6,"(496, 512)",61.71082305908203
11,DME5,NORMAL2,"(496, 512)",61.724212646484375
6,DME5,NORMAL10,"(496, 512)",61.74095153808594
7,DME5,NORMAL12,"(496, 512)",61.751487731933594
0,DME5,DME1,"(496, 512)",61.75787353515625
1,DME5,DME2,"(496, 512)",61.91798782348633
2,DME5,DME3,"(496, 512)",62.51247024536133
