,query1,query2,size,siamese_distance
15,NORMAL10,NORMAL6,"(496, 512)",61.55037307739258
3,NORMAL10,DME4,"(496, 512)",61.57777786254883
12,NORMAL10,NORMAL3,"(496, 512)",61.58293914794922
10,NORMAL10,NORMAL15,"(496, 512)",61.60483932495117
16,NORMAL10,NORMAL7,"(496, 512)",61.62487030029297
6,NORMAL10,NORMAL1,"(496, 512)",61.65839767456055
11,NORMAL10,NORMAL2,"(496, 512)",61.66988754272461
9,NORMAL10,NORMAL14,"(496, 512)",61.6866569519043
7,NORMAL10,NORMAL12,"(496, 512)",61.68910598754883
14,NORMAL10,NORMAL5,"(496, 512)",61.72394561767578
4,NORMAL10,DME5,"(496, 512)",61.74095153808594
17,NORMAL10,NORMAL8,"(496, 512)",61.74100112915039
5,NORMAL10,DME6,"(496, 512)",61.76801300048828
18,NORMAL10,NORMAL9,"(496, 512)",61.7861328125
13,NORMAL10,NORMAL4,"(496, 512)",61.80530548095703
8,NORMAL10,NORMAL13,"(496, 512)",61.83333969116211
0,NORMAL10,DME1,"(496, 512)",61.87775421142578
1,NORMAL10,DME2,"(496, 512)",61.95913314819336
2,NORMAL10,DME3,"(496, 512)",62.489681243896484
