,query1,query2,size,siamese_distance
10,DME4,NORMAL15,"(496, 512)",62.05805969238281
12,DME4,NORMAL3,"(496, 512)",62.05845260620117
5,DME4,NORMAL1,"(496, 512)",62.058677673339844
7,DME4,NORMAL12,"(496, 512)",62.058753967285156
4,DME4,DME6,"(496, 512)",62.058921813964844
11,DME4,NORMAL2,"(496, 512)",62.058998107910156
17,DME4,NORMAL8,"(496, 512)",62.059364318847656
16,DME4,NORMAL7,"(496, 512)",62.05939865112305
15,DME4,NORMAL6,"(496, 512)",62.05943298339844
13,DME4,NORMAL4,"(496, 512)",62.0595588684082
0,DME4,DME1,"(496, 512)",62.060115814208984
3,DME4,DME5,"(496, 512)",62.06016159057617
8,DME4,NORMAL13,"(496, 512)",62.06021499633789
14,DME4,NORMAL5,"(496, 512)",62.06087112426758
18,DME4,NORMAL9,"(496, 512)",62.06095886230469
6,DME4,NORMAL10,"(496, 512)",62.06106948852539
9,DME4,NORMAL14,"(496, 512)",62.06119918823242
1,DME4,DME2,"(496, 512)",62.06308364868164
2,DME4,DME3,"(496, 512)",62.065757751464844
